,"Admitted (%, 95% CI, N)","Not Admitted (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,7595 (86.8%),1156 (13.2%), , 
Age (mean years),"54.0 (53.6, 54.5)","47.2 (46.2, 48.3)","6.8 (5.7, 7.9)",< 0.00001
Pediatric (<18),"0.7% (0.5, 0.9), 53.0","1.6% (0.8, 2.3), 18.0","-0.9% (-1.6%, -0.1%)",0.02267
White,"57.9% (56.8, 59.0), 4397.0","52.3% (49.5, 55.2), 605.0","5.6% (2.5%, 8.6%)",0.00043
African American or Hispanic,"35.2% (34.2, 36.3), 2676.0","39.7% (36.9, 42.5), 459.0","-4.5% (-7.5%, -1.5%)",0.00375
Female,"62.2% (61.1, 63.3), 4726.0","65.5% (62.7, 68.2), 757.0","-3.3% (-6.2%, -0.3%)",0.03054
Married,"48.8% (47.7, 49.9), 3706.0","46.0% (43.1, 48.9), 532.0","2.8% (-0.3%, 5.9%)",0.07829
Medicaid,"21.1% (20.1, 22.0), 1599.0","23.4% (21.0, 25.9), 271.0","-2.4% (-5.0%, 0.2%)",0.0729
Medicare,"32.4% (31.4, 33.5), 2461.0","18.8% (16.5, 21.0), 217.0","13.6% (11.1%, 16.1%)",< 0.00001
Private Insurance,"40.0% (38.9, 41.1), 3039.0","46.1% (43.2, 49.0), 533.0","-6.1% (-9.2%, -3.0%)",0.00011
Uninsured,"4.4% (4.0, 4.9), 336.0","8.6% (6.9, 10.2), 99.0","-4.1% (-5.8%, -2.5%)",< 0.00001
Zip Code Income (mean quartile),"3.2 (3.2, 3.2)","3.2 (3.2, 3.3)","-0.0 (-0.1, 0.1)",0.90774
Charleston Comorbidity Index (mean),"0.6 (0.6, 0.6)","0.5 (0.5, 0.5)","0.1 (0.1, 0.1)",< 0.00001
Diabetes Mellitus,"19.4% (18.5, 20.3), 1471.0","12.5% (10.6, 14.4), 144.0","6.9% (4.8%, 9.0%)",< 0.00001
Hyperlipidemia,"29.1% (28.0, 30.1), 2207.0","16.7% (14.5, 18.8), 193.0","12.4% (10.0%, 14.7%)",< 0.00001
Obesity,"25.3% (24.4, 26.3), 1925.0","15.7% (13.6, 17.8), 181.0","9.7% (7.4%, 12.0%)",< 0.00001
Hypertension,"49.2% (48.0, 50.3), 3733.0","36.0% (33.2, 38.8), 416.0","13.2% (10.2%, 16.2%)",< 0.00001
Ischemic Heart Disease,"13.0% (12.3, 13.8), 989.0","6.3% (4.9, 7.7), 73.0","6.7% (5.1%, 8.3%)",< 0.00001
Mood Disorders,"18.9% (18.0, 19.8), 1435.0","13.5% (11.5, 15.5), 156.0","5.4% (3.2%, 7.6%)",< 0.00001
Aspirin,"10.9% (10.2, 11.6), 828.0","5.3% (4.0, 6.6), 61.0","5.6% (4.2%, 7.1%)",< 0.00001
Nicotine Dependence,"32.7% (31.7, 33.8), 2486.0","31.1% (28.5, 33.8), 360.0","1.6% (-1.3%, 4.5%)",0.27793
Alcohol-Related Disorders,"2.8% (2.5, 3.2), 215.0","1.1% (0.5, 1.7), 13.0","1.7% (1.0%, 2.4%)",< 0.00001
Recurrent ED Visits (# / 1000 patients),"40.2 (35.3, 45.0)","203.3 (174.8, 231.8)","-163.1 (-192.0, -134.2)",< 0.00001
Repeat Hospitalizations (# / 1000 patients),"45.3 (40.1, 50.5)","167.0 (144.0, 189.9)","-121.7 (-145.2, -98.1)",< 0.00001
Cost (USD),"9447.5 (9247.9, 9647.2)","2933.4 (2598.9, 3267.8)","6514.2 (6124.7, 6903.6)",< 0.00001
Deaths (%),"1.6% (1.3, 1.9), 122.0","0.9% (0.3, 1.4), 10.0","0.7% (0.1%, 1.3%)",0.0163
Length of Stay (mean days),"3.9 (3.8, 4.0)","1.4 (1.2, 1.5)","2.5 (2.4, 2.7)",< 0.00001
Admitted,"100.0% (100.0, 100.0), 7595.0","0.0% (0.0, 0.0), 0.0","100.0% (nan%, nan%)",< 0.00001
Not Admitted,"0.0% (0.0, 0.0), 0.0","100.0% (100.0, 100.0), 1156.0","-100.0% (nan%, nan%)",< 0.00001
