,"Admitted (%, 95% CI, N)","Not Admitted (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,793 (11.3%),6243 (88.7%), , 
Age (mean years),"59.3 (57.8, 60.8)","44.9 (44.5, 45.4)","14.4 (12.8, 15.9)",< 0.00001
Pediatric (<18),"1.4% (0.6, 2.2), 11.0","1.9% (1.6, 2.3), 120.0","-0.5% (-1.4%, 0.3%)",0.23521
White,"55.2% (51.8, 58.7), 438.0","53.3% (52.1, 54.6), 3330.0","1.9% (-1.8%, 5.6%)",0.31314
African American or Hispanic,"38.8% (35.4, 42.2), 308.0","39.4% (38.2, 40.6), 2458.0","-0.5% (-4.1%, 3.1%)",0.77231
Female,"66.2% (62.9, 69.5), 525.0","72.3% (71.1, 73.4), 4511.0","-6.1% (-9.5%, -2.6%)",0.00067
Married,"40.9% (37.4, 44.3), 324.0","45.2% (43.9, 46.4), 2819.0","-4.3% (-7.9%, -0.7%)",0.02086
Medicaid,"21.4% (18.6, 24.3), 170.0","24.6% (23.5, 25.6), 1534.0","-3.1% (-6.2%, -0.1%)",0.04436
Medicare,"45.0% (41.5, 48.5), 357.0","16.4% (15.5, 17.4), 1026.0","28.6% (25.0%, 32.2%)",< 0.00001
Private Insurance,"29.4% (26.2, 32.6), 233.0","46.0% (44.8, 47.3), 2874.0","-16.7% (-20.1%, -13.2%)",< 0.00001
Uninsured,"2.8% (1.6, 3.9), 22.0","9.6% (8.9, 10.4), 602.0","-6.9% (-8.2%, -5.5%)",< 0.00001
Zip Code Income (mean quartile),"3.1 (3.0, 3.2)","3.1 (3.1, 3.2)","-0.0 (-0.1, 0.0)",0.39213
Charleston Comorbidity Index (mean),"0.8 (0.7, 0.8)","0.4 (0.4, 0.4)","0.3 (0.3, 0.4)",< 0.00001
Diabetes Mellitus,"25.5% (22.4, 28.5), 202.0","11.4% (10.6, 12.2), 713.0","14.1% (10.9%, 17.2%)",< 0.00001
Hyperlipidemia,"35.3% (32.0, 38.6), 280.0","13.8% (13.0, 14.7), 864.0","21.5% (18.0%, 24.9%)",< 0.00001
Obesity,"20.3% (17.5, 23.1), 161.0","14.2% (13.3, 15.1), 886.0","6.1% (3.2%, 9.0%)",5e-05
Hypertension,"58.3% (54.8, 61.7), 462.0","28.5% (27.4, 29.6), 1780.0","29.7% (26.1%, 33.4%)",< 0.00001
Ischemic Heart Disease,"18.5% (15.8, 21.2), 147.0","4.4% (3.9, 4.9), 272.0","14.2% (11.4%, 16.9%)",< 0.00001
Mood Disorders,"21.6% (18.7, 24.4), 171.0","12.0% (11.2, 12.8), 747.0","9.6% (6.6%, 12.6%)",< 0.00001
Aspirin,"13.7% (11.3, 16.1), 109.0","5.1% (4.6, 5.7), 319.0","8.6% (6.2%, 11.1%)",< 0.00001
Nicotine Dependence,"38.5% (35.1, 41.9), 305.0","25.5% (24.4, 26.6), 1591.0","13.0% (9.4%, 16.5%)",< 0.00001
Alcohol-Related Disorders,"4.0% (2.7, 5.4), 32.0","1.1% (0.8, 1.4), 69.0","2.9% (1.5%, 4.3%)",4e-05
Recurrent ED Visits (# / 1000 patients),"95.8 (70.7, 120.9)","198.0 (185.6, 210.4)","-102.1 (-130.1, -74.2)",< 0.00001
Repeat Hospitalizations (# / 1000 patients),"97.1 (74.2, 120.0)","80.9 (73.5, 88.3)","16.2 (-7.9, 40.3)",0.18672
Cost (USD),"9880.0 (9317.4, 10442.6)","1832.0 (1741.2, 1922.9)","8048.0 (7478.1, 8617.8)",< 0.00001
Deaths (%),"3.4% (2.1, 4.7), 27.0","0.6% (0.4, 0.8), 37.0","2.8% (1.5%, 4.1%)",2e-05
Length of Stay (mean days),"3.9 (3.6, 4.1)","0.7 (0.7, 0.7)","3.2 (2.9, 3.4)",< 0.00001
Admitted,"100.0% (100.0, 100.0), 793.0","0.0% (0.0, 0.0), 0.0","100.0% (nan%, nan%)",< 0.00001
Not Admitted,"0.0% (0.0, 0.0), 0.0","100.0% (100.0, 100.0), 6243.0","-100.0% (nan%, nan%)",< 0.00001
Complicated,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0","0.0% (nan%, nan%)",
Uncomplicated,"100.0% (100.0, 100.0), 793.0","100.0% (100.0, 100.0), 6243.0","0.0% (nan%, nan%)",
Immediate,"23.3% (20.4, 26.3), 185.0","0.0% (0.0, 0.0), 0.0","23.3% (20.4%, 26.3%)",< 0.00001
Return Emergency,"3.4% (2.1, 4.7), 27.0","7.6% (7.0, 8.3), 477.0","-4.2% (-5.7%, -2.8%)",< 0.00001
Delayed,"15.4% (12.9, 17.9), 122.0","35.0% (33.8, 36.2), 2186.0","-19.6% (-22.4%, -16.9%)",< 0.00001
No Surgery,"57.9% (54.4, 61.3), 459.0","57.3% (56.1, 58.6), 3580.0","0.5% (-3.1%, 4.2%)",0.7731
Obtained Surgery,"42.1% (38.7, 45.6), 334.0","42.7% (41.4, 43.9), 2663.0","-0.5% (-4.2%, 3.1%)",0.7731
Did Not Obtain Surgery,"57.9% (54.4, 61.3), 459.0","57.3% (56.1, 58.6), 3580.0","0.5% (-3.1%, 4.2%)",0.7731
New Cholecystitis,"17.8% (15.1, 20.4), 141.0","40.5% (39.3, 41.7), 2530.0","-22.7% (-25.7%, -19.8%)",< 0.00001
No New Cholecystitis,"82.2% (79.6, 84.9), 652.0","59.5% (58.3, 60.7), 3713.0","22.7% (19.8%, 25.7%)",< 0.00001
Immediate Cholecystectomy Obtained,"23.3% (20.4, 26.3), 185.0","0.0% (0.0, 0.0), 0.0","23.3% (20.4%, 26.3%)",< 0.00001
Initial Management Without Cholecystectomy,"76.7% (73.7, 79.6), 608.0","100.0% (100.0, 100.0), 6243.0","-23.3% (-26.3%, -20.4%)",< 0.00001
Ambulatory Cholecystectomy,"14.5% (12.0, 17.0), 115.0","36.0% (34.8, 37.2), 2249.0","-21.5% (-24.3%, -18.8%)",< 0.00001
Non-Ambulatory Cholecystectomy,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0","0.0% (nan%, nan%)",
