,Odds Ratio of ____ (95% CI),P-value
age,"0.47 (0.28, 0.66)",5.936858468162386e-15
CMDF CCI,"0.8 (0.69, 0.91)",7.717661697657494e-05
Alcohol-Related Disorders,"0.87 (0.79, 0.94)",0.00033375169165778505
Aspirin,"1.15 (1.06, 1.23)",0.0015874953732903437
Nicotine Dependence,"1.14 (1.04, 1.25)",0.014482860872146713
Hyperlipidemia,"1.11 (1.0, 1.22)",0.05968807633406604
median_zip_income,"0.9 (0.79, 1.01)",0.06961128266563635
Obesity,"1.1 (0.99, 1.21)",0.10115366550347404
payer_Private insurance,"1.18 (0.98, 1.37)",0.11018444113328472
payer_Medicare,"1.05 (0.97, 1.13)",0.21012250368667018
payer_Medicaid,"0.87 (0.65, 1.09)",0.21851584723855477
Mood Disorders,"0.94 (0.84, 1.04)",0.22706309802595448
Ischemic Heart Disease,"0.97 (0.88, 1.05)",0.4284621981635124
payer_Self-pay,"0.96 (0.81, 1.1)",0.5437661418507562
payer_No charge,"0.95 (0.76, 1.13)",0.55646413023214
payer_Other,"0.97 (0.81, 1.13)",0.7176849374190519
Diabetes Mellitus,"0.98 (0.88, 1.09)",0.7695352290243895
Hypertension,"1.0 (0.86, 1.15)",0.9486622523140023
race_Native American,"1.12 (-681413.11, 681415.35)",0.9999997439022626
race_Asian,"0.88 (-1386713.83, 1386715.59)",0.9999998503218532
initial_discharge_quarter_4,"0.9 (-1867149.91, 1867151.71)",0.9999999105529732
marital_status_Widowed,"0.92 (-1487595.2, 1487597.05)",0.9999999158819788
initial_discharge_quarter_2,"1.06 (-1478084.51, 1478086.64)",0.9999999351736851
marital_status_Single,"0.91 (-2716376.18, 2716378.01)",0.9999999481395359
marital_status_Married,"1.1 (-2813873.52, 2813875.71)",0.9999999485931875
race_Hispanic,"0.93 (-3014692.35, 3014694.22)",0.9999999633181081
initial_discharge_quarter_3,"1.04 (-1898706.81, 1898708.89)",0.9999999659768315
race_White,"1.1 (-4471275.63, 4471277.83)",0.9999999664866865
race_African-American,"0.94 (-3986169.76, 3986171.64)",0.9999999759949446
initial_discharge_quarter_1,"1.02 (-1441234.42, 1441236.47)",0.999999976954979
race_Other,"1.01 (-1624908.57, 1624910.58)",0.9999999928502679
marital_status_Divorced,"1.0 (-1411271.15, 1411273.14)",0.9999999947910989
marital_status_Legally Separated,"1.0 (-737950.0, 737952.0)",0.9999999950030631
gender_Male,"0.96 (nan, nan)",
gender_Female,"1.04 (nan, nan)",
