,Odds Ratio of ____ (95% CI),P-value
Obesity,"0.72 (0.66, 0.78)",1.0380961682133407e-27
age,"0.7 (0.61, 0.79)",1.6873184150348866e-15
Ischemic Heart Disease,"0.72 (0.63, 0.81)",6.686568337783908e-14
Mood Disorders,"0.84 (0.79, 0.9)",1.3217496923001823e-08
CMDF CCI,"0.85 (0.79, 0.92)",6.92112080083916e-07
Alcohol-Related Disorders,"0.84 (0.76, 0.91)",1.953622935673272e-06
Hyperlipidemia,"0.86 (0.79, 0.93)",2.1842888116527767e-05
Hypertension,"0.87 (0.81, 0.94)",8.330807891831566e-05
Nicotine Dependence,"0.92 (0.86, 0.97)",0.0024958081424171284
median_zip_income,"0.96 (0.91, 1.02)",0.16779517020311996
Diabetes Mellitus,"1.04 (0.98, 1.11)",0.20723232328675922
Aspirin,"0.99 (0.92, 1.05)",0.704027506989788
race_Hispanic,"0.86 (-455705.54, 455707.26)",0.9999994885890143
race_Asian,"0.94 (-229550.03, 229551.92)",0.9999996129761279
race_Native American,"1.02 (-110888.99, 110891.03)",0.9999997535521743
race_White,"1.09 (-705819.64, 705821.81)",0.999999818454916
race_African-American,"1.06 (-622514.56, 622516.69)",0.9999998448043234
marital_status_Widowed,"0.96 (-558015.27, 558017.2)",0.9999998890377053
marital_status_Single,"0.97 (-1019384.72, 1019386.66)",0.9999999466091953
race_Other,"0.99 (-254584.09, 254586.08)",0.9999999551034026
marital_status_Married,"1.03 (-1055289.83, 1055291.88)",0.9999999631774119
initial_discharge_quarter_1,"0.98 (-1160994.0, 1160995.95)",0.9999999664637447
initial_discharge_quarter_2,"1.02 (-1187660.28, 1187662.32)",0.9999999723018075
initial_discharge_quarter_4,"1.03 (-1503010.78, 1503012.83)",0.9999999736116357
initial_discharge_quarter_3,"0.98 (-1524004.44, 1524006.4)",0.9999999769332741
marital_status_Divorced,"1.0 (-529584.77, 529586.78)",0.9999999894609971
marital_status_Legally Separated,"1.0 (-276664.43, 276666.43)",0.9999999934436012
gender_Male,"0.96 (-131915737.3, 131915739.22)",0.9999999994859741
gender_Female,"1.04 (-131915737.22, 131915739.3)",0.9999999994859741
payer_Medicare,"0.88 (nan, nan)",
payer_Medicaid,"0.97 (nan, nan)",
payer_Other,"1.03 (nan, nan)",
payer_Private insurance,"1.03 (nan, nan)",
payer_No charge,"1.06 (nan, nan)",
payer_Self-pay,"1.13 (nan, nan)",
