,Odds Ratio of ____ (95% CI),P-value
Obesity,"0.42 (0.34, 0.49)",1.0173514681809195e-108
Nicotine Dependence,"0.76 (0.7, 0.83)",2.2569633883611736e-17
age,"1.41 (1.32, 1.51)",2.854231801676306e-12
Mood Disorders,"0.81 (0.74, 0.88)",6.91781501949526e-10
Hyperlipidemia,"0.81 (0.73, 0.89)",2.5623549766070666e-07
CMDF CCI,"0.85 (0.78, 0.92)",4.799219776679163e-06
Hypertension,"0.86 (0.78, 0.93)",9.545544890604695e-05
Aspirin,"0.87 (0.8, 0.95)",0.0004185944999978528
Alcohol-Related Disorders,"1.11 (1.03, 1.19)",0.011763474968011467
Diabetes Mellitus,"1.09 (1.02, 1.17)",0.02433924659581377
median_zip_income,"1.05 (0.99, 1.11)",0.10752776320381649
Ischemic Heart Disease,"1.03 (0.95, 1.12)",0.4591426307171266
payer_Other,"1.1 (-228373.78, 228375.98)",0.9999993412460345
payer_Self-pay,"1.14 (-346758.68, 346760.96)",0.9999994083683744
race_Native American,"1.03 (-122801.39, 122803.45)",0.999999580681282
payer_Private insurance,"0.85 (-716662.23, 716663.92)",0.9999996346545379
race_Other,"1.06 (-281961.9, 281964.03)",0.9999996701411729
race_African-American,"1.13 (-689152.18, 689154.44)",0.9999997260019294
payer_Medicare,"1.09 (-635099.23, 635101.41)",0.9999997972786474
initial_discharge_quarter_4,"1.07 (-549876.5, 549878.64)",0.999999807104571
race_White,"0.91 (-781868.07, 781869.89)",0.9999998149026483
race_Asian,"0.98 (-254199.77, 254201.72)",0.9999998473288704
payer_No charge,"0.99 (-104483.22, 104485.2)",0.9999998530772739
initial_discharge_quarter_1,"0.96 (-424304.39, 424306.31)",0.999999853951148
race_Hispanic,"0.95 (-504725.39, 504727.29)",0.9999998539956775
initial_discharge_quarter_3,"0.97 (-559176.68, 559178.62)",0.9999999223398337
payer_Medicaid,"0.97 (-607672.39, 607674.33)",0.9999999296688671
initial_discharge_quarter_2,"0.99 (-435195.74, 435197.73)",0.9999999812435408
gender_Male,"1.04 (-4096661.55, 4096663.64)",0.9999999841967986
gender_Female,"0.96 (-4096850.42, 4096852.34)",0.9999999841975268
marital_status_Married,"0.92 (nan, nan)",
marital_status_Divorced,"0.97 (nan, nan)",
marital_status_Legally Separated,"1.04 (nan, nan)",
marital_status_Widowed,"1.04 (nan, nan)",
marital_status_Single,"1.06 (nan, nan)",
