,"Concurrent Alcohol Use (%, 95% CI, N)","Isolated Drug Use (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,703 (5.7%),11650 (94.3%), , 
Age (mean years),"41.6 (40.6, 42.7)","40.4 (40.1, 40.7)","1.2 (0.1, 2.3)",0.02621
Pediatric (<18),"2.0% (1.0, 3.0), 14.0","2.1% (1.9, 2.4), 247.0","-0.1% (-1.2%, 0.9%)",0.81301
Geriatric (>65),"4.3% (2.8, 5.8), 30.0","5.7% (5.2, 6.1), 660.0","-1.4% (-3.0%, 0.2%)",0.07809
White,"50.1% (46.4, 53.8), 352.0","58.9% (58.0, 59.8), 6865.0","-8.9% (-12.7%, -5.0%)",1e-05
African American or Hispanic,"46.4% (42.7, 50.1), 326.0","37.9% (37.0, 38.7), 4410.0","8.5% (4.7%, 12.3%)",1e-05
Female,"29.7% (26.3, 33.1), 209.0","33.8% (33.0, 34.7), 3940.0","-4.1% (-7.6%, -0.6%)",0.02183
Married,"15.4% (12.7, 18.0), 108.0","14.5% (13.9, 15.2), 1693.0","0.8% (-1.9%, 3.6%)",0.55307
Medicaid,"50.9% (47.2, 54.6), 358.0","54.2% (53.3, 55.1), 6316.0","-3.3% (-7.1%, 0.5%)",0.09071
Medicare,"10.0% (7.7, 12.2), 70.0","13.1% (12.5, 13.7), 1523.0","-3.1% (-5.4%, -0.8%)",0.00803
Private Insurance,"22.0% (19.0, 25.1), 155.0","15.1% (14.5, 15.8), 1760.0","6.9% (3.8%, 10.1%)",2e-05
Uninsured,"14.4% (11.8, 17.0), 101.0","14.6% (13.9, 15.2), 1696.0","-0.2% (-2.9%, 2.5%)",0.88867
Zip Code Income (mean quartile),"2.7 (2.6, 2.7)","2.6 (2.6, 2.6)","0.1 (-0.0, 0.2)",0.17651
Charleston Comorbidity Index (mean),"0.4 (0.3, 0.4)","0.3 (0.3, 0.4)","0.0 (-0.0, 0.1)",0.33835
Diabetes Mellitus,"5.5% (3.9, 7.2), 39.0","8.7% (8.2, 9.2), 1010.0","-3.1% (-4.9%, -1.4%)",0.00057
Hyperlipidemia,"5.5% (3.9, 7.2), 39.0","6.9% (6.5, 7.4), 807.0","-1.4% (-3.1%, 0.4%)",0.12383
Obesity,"3.0% (1.7, 4.2), 21.0","3.7% (3.3, 4.0), 429.0","-0.7% (-2.0%, 0.6%)",0.29671
