,Odds Ratio of ____ (95% CI),P-value
Pediatric,"313.71 (312.71, 314.71)",< 0.00001
median_zip_income,"1.21 (1.03, 1.39)",0.03299
Aspirin,"0.85 (0.68, 1.03)",0.07661
Ischemic Heart Disease,"0.92 (0.81, 1.03)",0.13483
Mood Disorders,"0.88 (0.68, 1.08)",0.21827
Hypertension,"0.9 (0.73, 1.08)",0.24222
Depression,"1.12 (0.92, 1.32)",0.27152
Alcohol-Related Disorders,"1.06 (0.95, 1.17)",0.2866
Diabetes Mellitus,"0.92 (0.76, 1.08)",0.31391
Nicotine Dependence,"0.92 (0.74, 1.1)",0.36823
Obesity,"0.97 (0.86, 1.08)",0.60927
CMDF CCI,"0.96 (0.81, 1.12)",0.63116
Geriatric,"1.03 (0.81, 1.26)",0.76849
Hyperlipidemia,"0.98 (0.83, 1.13)",0.81145
Suicidal ideation,"1.01 (0.84, 1.18)",0.90619
race_Hispanic,"1.48 (-4795082.63, 4795085.59)",1.0
payer_No charge,"0.96 (-606564.86, 606566.78)",1.0
initial_discharge_quarter_1.0,"0.86 (-4037132.87, 4037134.59)",1.0
payer_Private insurance,"1.22 (-6918415.43, 6918417.88)",1.0
race_Native American,"0.97 (-1196282.53, 1196284.47)",1.0
payer_Medicaid,"0.82 (-7886914.05, 7886915.69)",1.0
initial_discharge_quarter_4.0,"1.14 (-5237546.55, 5237548.83)",1.0
race_African-American,"0.82 (-9062166.68, 9062168.32)",1.0
race_White,"0.82 (-9576663.67, 9576665.32)",1.0
payer_Self-pay,"1.13 (-6101150.78, 6101153.04)",1.0
marital_status_Widowed,"0.94 (-3343461.46, 3343463.34)",1.0
payer_Medicare,"1.09 (-5088210.23, 5088212.42)",1.0
race_Asian,"0.97 (-2081625.87, 2081627.81)",1.0
payer_Other,"0.95 (-2946050.62, 2946052.52)",1.0
marital_status_Legally Separated,"0.95 (-3572784.25, 3572786.15)",1.0
marital_status_Single,"1.08 (-10043531.41, 10043533.57)",1.0
race_Other,"0.98 (-3112260.86, 3112262.82)",1.0
initial_discharge_quarter_2.0,"0.98 (-4318601.49, 4318603.44)",1.0
initial_discharge_quarter_3.0,"0.98 (-5385397.49, 5385399.44)",1.0
marital_status_Divorced,"1.02 (-5718503.05, 5718505.09)",1.0
marital_status_Married,"0.98 (-8242390.31, 8242392.27)",1.0
gender_Male,"0.95 (nan, nan)",
gender_Female,"1.05 (nan, nan)",
