,"IV Opioid (%, 95% CI, N)","No IV Opioid (%, 95% CI, N)",Difference (95% CI)
Totals,473,622, 
Age,"29.97 (28.8, 31.14)","27.66 (26.32, 29.01)",(0.52 - 4.09)
African American or Hispanic,"96.0% (95.0, 98.0), 456.0","98.0% (97.0, 99.0), 611.0",(-3.8% - 0.15%)
Female,"55.0% (50.0, 59.0), 259.0","59.0% (55.0, 63.0), 365.0",(-9.86% - 2.01%)
Married,"16.0% (13.0, 20.0), 77.0","14.0% (11.0, 17.0), 86.0",(-1.85% - 6.75%)
Medicaid,"31.0% (27.0, 35.0), 147.0","46.0% (42.0, 50.0), 286.0",(-20.64% - -9.17%)
Medicare,"14.0% (10.0, 17.0), 64.0","12.0% (9.0, 14.0), 74.0",(-2.37% - 5.64%)
Private Insurance,"29.0% (25.0, 33.0), 137.0","28.0% (25.0, 32.0), 175.0",(-4.59% - 6.24%)
Uninsured,"23.0% (20.0, 27.0), 111.0","10.0% (8.0, 13.0), 65.0",(8.49% - 17.54%)
White,"0.0% (-0.0, 1.0), 2.0","0.0% (0.0, 0.0), 0.0",(-0.16% - 1.01%)
Median Zip Code Income Quartile,"2.9 (2.81, 3.0)","2.76 (2.66, 2.85)",(0.02 - 0.28)
CMDF CCI,"0.53 (0.48, 0.57)","0.47 (0.42, 0.51)",(-0.01 - 0.13)
Aspirin,"3.0% (1.0, 4.0), 12.0","3.0% (2.0, 5.0), 21.0",(-2.85% - 1.17%)
Diabetes Mellitus,"4.0% (2.0, 5.0), 17.0","5.0% (4.0, 7.0), 34.0",(-4.33% - 0.58%)
Hyperlipidemia,"1.0% (0.0, 2.0), 5.0","1.0% (1.0, 2.0), 9.0",(-1.71% - 0.93%)
Obesity,"4.0% (2.0, 5.0), 17.0","5.0% (3.0, 7.0), 32.0",(-3.97% - 0.87%)
Systemic Hypertension,"14.0% (11.0, 17.0), 65.0","17.0% (14.0, 20.0), 105.0",(-7.42% - 1.15%)
Ischemic Heart Disease,"2.0% (1.0, 3.0), 10.0","4.0% (2.0, 5.0), 24.0",(-3.74% - 0.25%)
Mood Disorders,"10.0% (7.0, 13.0), 47.0","14.0% (12.0, 17.0), 89.0",(-8.23% - -0.51%)
Nicotine Dependence,"19.0% (15.0, 22.0), 89.0","15.0% (12.0, 17.0), 91.0",(-0.31% - 8.68%)
Alcohol-Related Disorders,"2.0% (1.0, 3.0), 8.0","2.0% (1.0, 3.0), 12.0",(-1.83% - 1.35%)
Opioid Use Disorder,"2.0% (1.0, 4.0), 11.0","4.0% (2.0, 5.0), 22.0",(-3.2% - 0.78%)
Pregnant,"1.0% (-0.0, 1.0), 3.0","0.0% (-0.0, 0.0), 1.0",(-0.31% - 1.26%)
Recurrent ED Visits (number per 1000 patients),"1708.25 (1371.01, 2045.48)","1586.82 (1266.59, 1907.04)",(-343.1 - 585.96)
Repeat Hospitalizations (number per 1000 patients),"731.5 (559.28, 903.72)","819.94 (633.22, 1006.65)",(-342.16 - 165.29)
Cost,"8115.25 (5814.16, 10416.34)","12141.3 (10007.07, 14275.52)",(-7160.99 - -891.12)
Died,"1.0% (0.0, 2.0), 4.0","1.0% (0.0, 2.0), 8.0",(-1.65% - 0.77%)
LOS,"6.05 (4.36, 7.73)","8.07 (6.31, 9.83)",(-4.45 - 0.41)
Admitted,,,
Hb-SS,"100.0% (100.0, 100.0), 473.0","100.0% (100.0, 100.0), 622.0",(nan% - nan%)
Not Hb-SS,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
IV Opioid,"100.0% (100.0, 100.0), 473.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
No IV Opioid,"0.0% (0.0, 0.0), 0.0","100.0% (100.0, 100.0), 622.0",(nan% - nan%)
Pediatric,"18.0% (14.0, 21.0), 84.0","30.0% (26.0, 33.0), 185.0",(-16.97% - -7.0%)
Adult,"81.0% (78.0, 85.0), 385.0","68.0% (64.0, 72.0), 424.0",(8.15% - 18.31%)
Geriatric,"1.0% (0.0, 2.0), 4.0","2.0% (1.0, 3.0), 13.0",(-2.64% - 0.15%)
Morphine,"56.0% (52.0, 61.0), 266.0","0.0% (0.0, 0.0), 0.0",(51.75% - 60.72%)
No Morphine,"44.0% (39.0, 48.0), 207.0","100.0% (100.0, 100.0), 622.0",(-60.72% - -51.75%)
Hydromorphone,"46.0% (42.0, 51.0), 219.0","0.0% (0.0, 0.0), 0.0",(41.79% - 50.81%)
No Hydromorphone,"54.0% (49.0, 58.0), 254.0","100.0% (100.0, 100.0), 622.0",(-50.81% - -41.79%)
Oxycodone,"3.0% (1.0, 4.0), 13.0","0.0% (0.0, 0.0), 0.0",(1.27% - 4.23%)
No Oxycodone,"97.0% (96.0, 99.0), 460.0","100.0% (100.0, 100.0), 622.0",(-4.23% - -1.27%)
Fentanyl,"6.0% (4.0, 8.0), 28.0","0.0% (0.0, 0.0), 0.0",(3.79% - 8.05%)
No Fentanyl,"94.0% (92.0, 96.0), 445.0","100.0% (100.0, 100.0), 622.0",(-8.05% - -3.79%)
