,"IV Opioid (%, 95% CI, N)","No IV Opioid (%, 95% CI, N)",Difference (95% CI)
Totals,491,688, 
Age,"29.8 (28.64, 30.97)","27.24 (25.96, 28.52)",(0.83 - 4.3)
African American or Hispanic,"96.0% (95.0, 98.0), 473.0","98.0% (97.0, 99.0), 677.0",(-3.98% - -0.15%)
Female,"55.0% (51.0, 59.0), 270.0","59.0% (55.0, 62.0), 403.0",(-9.33% - 2.16%)
Married,"16.0% (13.0, 19.0), 79.0","14.0% (11.0, 16.0), 94.0",(-1.72% - 6.58%)
Medicaid,"31.0% (27.0, 35.0), 154.0","46.0% (42.0, 50.0), 318.0",(-20.41% - -9.3%)
Medicare,"13.0% (10.0, 16.0), 64.0","11.0% (9.0, 14.0), 77.0",(-1.96% - 5.65%)
Private Insurance,"29.0% (25.0, 33.0), 144.0","29.0% (26.0, 33.0), 201.0",(-5.17% - 5.39%)
Uninsured,"23.0% (20.0, 27.0), 115.0","10.0% (8.0, 12.0), 69.0",(9.02% - 17.77%)
White,"0.0% (-0.0, 1.0), 2.0","0.0% (0.0, 0.0), 0.0",(-0.16% - 0.97%)
Median Zip Code Income Quartile,"2.89 (2.8, 2.99)","2.75 (2.66, 2.84)",(0.01 - 0.27)
CMDF CCI,"0.52 (0.48, 0.57)","0.46 (0.42, 0.51)",(-0.0 - 0.12)
Aspirin,"2.0% (1.0, 4.0), 12.0","3.0% (2.0, 5.0), 22.0",(-2.65% - 1.15%)
Diabetes Mellitus,"3.0% (2.0, 5.0), 17.0","5.0% (4.0, 7.0), 37.0",(-4.26% - 0.42%)
Hyperlipidemia,"1.0% (0.0, 2.0), 5.0","2.0% (1.0, 3.0), 11.0",(-1.87% - 0.71%)
Obesity,"3.0% (2.0, 5.0), 17.0","6.0% (4.0, 7.0), 38.0",(-4.42% - 0.29%)
Systemic Hypertension,"14.0% (11.0, 17.0), 67.0","16.0% (14.0, 19.0), 113.0",(-6.9% - 1.34%)
Ischemic Heart Disease,"2.0% (1.0, 3.0), 10.0","4.0% (2.0, 5.0), 25.0",(-3.48% - 0.28%)
Mood Disorders,"10.0% (8.0, 13.0), 51.0","14.0% (11.0, 16.0), 95.0",(-7.16% - 0.32%)
Nicotine Dependence,"19.0% (15.0, 22.0), 91.0","15.0% (12.0, 17.0), 100.0",(-0.34% - 8.34%)
Alcohol-Related Disorders,"2.0% (1.0, 3.0), 8.0","2.0% (1.0, 3.0), 13.0",(-1.78% - 1.26%)
Opioid Use Disorder,"2.0% (1.0, 4.0), 12.0","3.0% (2.0, 5.0), 24.0",(-2.98% - 0.89%)
Pregnant,"1.0% (-0.0, 1.0), 3.0","0.0% (-0.0, 0.0), 1.0",(-0.28% - 1.21%)
Recurrent ED Visits (number per 1000 patients),"1651.73 (1325.77, 1977.69)","1444.77 (1153.38, 1736.15)",(-229.79 - 643.72)
Repeat Hospitalizations (number per 1000 patients),"712.83 (546.48, 879.18)","754.36 (584.55, 924.17)",(-278.99 - 195.93)
Cost,"7882.99 (5662.7, 10103.28)","11822.25 (9873.39, 13771.11)",(-6890.46 - -988.06)
Died,"1.0% (0.0, 2.0), 4.0","1.0% (0.0, 2.0), 8.0",(-1.48% - 0.78%)
LOS,"5.88 (4.25, 7.5)","7.7 (6.11, 9.3)",(-4.1 - 0.45)
Admitted,,,
Hb-SS,"96.0% (95.0, 98.0), 473.0","90.0% (88.0, 93.0), 622.0",(3.16% - 8.69%)
Not Hb-SS,"4.0% (2.0, 5.0), 18.0","10.0% (7.0, 12.0), 66.0",(-8.69% - -3.16%)
IV Opioid,"100.0% (100.0, 100.0), 491.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
No IV Opioid,"0.0% (0.0, 0.0), 0.0","100.0% (100.0, 100.0), 688.0",(nan% - nan%)
Pediatric,"19.0% (15.0, 22.0), 93.0","32.0% (28.0, 35.0), 217.0",(-17.52% - -7.68%)
Adult,"80.0% (77.0, 84.0), 394.0","66.0% (63.0, 70.0), 457.0",(8.82% - 18.82%)
Geriatric,"1.0% (0.0, 2.0), 4.0","2.0% (1.0, 3.0), 14.0",(-2.54% - 0.1%)
Morphine,"57.0% (52.0, 61.0), 279.0","0.0% (0.0, 0.0), 0.0",(52.43% - 61.22%)
No Morphine,"43.0% (39.0, 48.0), 212.0","100.0% (100.0, 100.0), 688.0",(-61.22% - -52.43%)
Hydromorphone,"46.0% (41.0, 50.0), 224.0","0.0% (0.0, 0.0), 0.0",(41.2% - 50.04%)
No Hydromorphone,"54.0% (50.0, 59.0), 267.0","100.0% (100.0, 100.0), 688.0",(-50.04% - -41.2%)
Oxycodone,"3.0% (1.0, 4.0), 13.0","0.0% (0.0, 0.0), 0.0",(1.22% - 4.07%)
No Oxycodone,"97.0% (96.0, 99.0), 478.0","100.0% (100.0, 100.0), 688.0",(-4.07% - -1.22%)
Fentanyl,"6.0% (4.0, 8.0), 29.0","0.0% (0.0, 0.0), 0.0",(3.81% - 8.0%)
No Fentanyl,"94.0% (92.0, 96.0), 462.0","100.0% (100.0, 100.0), 688.0",(-8.0% - -3.81%)
