,"IV Opioid (%, 95% CI, N)","No IV Opioid (%, 95% CI, N)",Difference (95% CI)
Totals,84,185, 
Age,"11.57 (10.54, 12.61)","7.89 (7.05, 8.73)",(2.35 - 5.01)
African American or Hispanic,"96.0% (92.0, 100.0), 81.0","99.0% (97.0, 100.0), 183.0",(-6.8% - 1.82%)
Female,"37.0% (26.0, 47.0), 31.0","51.0% (44.0, 59.0), 95.0",(-27.19% - -1.71%)
Married,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Medicaid,"58.0% (48.0, 69.0), 49.0","64.0% (57.0, 71.0), 118.0",(-18.23% - 7.33%)
Medicare,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Private Insurance,"31.0% (21.0, 41.0), 26.0","26.0% (20.0, 33.0), 49.0",(-7.44% - 16.37%)
Uninsured,"6.0% (1.0, 11.0), 5.0","6.0% (3.0, 9.0), 11.0",(-6.17% - 6.18%)
White,"1.0% (-1.0, 4.0), 1.0","0.0% (0.0, 0.0), 0.0",(-1.18% - 3.56%)
Median Zip Code Income Quartile,"2.94 (2.71, 3.17)","2.71 (2.53, 2.88)",(-0.06 - 0.52)
CMDF CCI,"0.44 (0.33, 0.55)","0.34 (0.27, 0.41)",(-0.03 - 0.23)
Aspirin,"0.0% (0.0, 0.0), 0.0","1.0% (-1.0, 2.0), 1.0",(-1.61% - 0.53%)
Diabetes Mellitus,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Hyperlipidemia,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Obesity,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Systemic Hypertension,"5.0% (0.0, 9.0), 4.0","2.0% (-0.0, 3.0), 3.0",(-1.85% - 8.13%)
Ischemic Heart Disease,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Mood Disorders,"2.0% (-1.0, 6.0), 2.0","6.0% (3.0, 10.0), 12.0",(-8.97% - 0.76%)
Nicotine Dependence,"1.0% (-1.0, 4.0), 1.0","0.0% (0.0, 0.0), 0.0",(-1.18% - 3.56%)
Alcohol-Related Disorders,"1.0% (-1.0, 4.0), 1.0","0.0% (0.0, 0.0), 0.0",(-1.18% - 3.56%)
Opioid Use Disorder,"0.0% (0.0, 0.0), 0.0","1.0% (-1.0, 2.0), 1.0",(-1.61% - 0.53%)
Pregnant,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Recurrent ED Visits (number per 1000 patients),"1261.9 (568.97, 1954.84)","989.19 (708.3, 1270.08)",(-473.02 - 1018.45)
Repeat Hospitalizations (number per 1000 patients),"523.81 (223.49, 824.13)","524.32 (360.7, 687.95)",(-341.21 - 340.18)
Cost,"4970.38 (2135.34, 7805.42)","6715.64 (4975.65, 8455.64)",(-5057.41 - 1566.88)
Died,"1.0% (-1.0, 4.0), 1.0","0.0% (0.0, 0.0), 0.0",(-1.18% - 3.56%)
LOS,"4.61 (0.73, 8.48)","3.57 (2.65, 4.48)",(-2.94 - 5.02)
Admitted,,,
Hb-SS,"100.0% (100.0, 100.0), 84.0","100.0% (100.0, 100.0), 185.0",(nan% - nan%)
Not Hb-SS,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
IV Opioid,"100.0% (100.0, 100.0), 84.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
No IV Opioid,"0.0% (0.0, 0.0), 0.0","100.0% (100.0, 100.0), 185.0",(nan% - nan%)
Pediatric,"100.0% (100.0, 100.0), 84.0","100.0% (100.0, 100.0), 185.0",(nan% - nan%)
Adult,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Geriatric,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0",(nan% - nan%)
Morphine,"83.0% (75.0, 91.0), 70.0","0.0% (0.0, 0.0), 0.0",(75.2% - 91.47%)
No Morphine,"17.0% (9.0, 25.0), 14.0","100.0% (100.0, 100.0), 185.0",(-91.47% - -75.2%)
Hydromorphone,"10.0% (3.0, 16.0), 8.0","0.0% (0.0, 0.0), 0.0",(3.12% - 15.93%)
No Hydromorphone,"90.0% (84.0, 97.0), 76.0","100.0% (100.0, 100.0), 185.0",(-15.93% - -3.12%)
Oxycodone,"6.0% (1.0, 11.0), 5.0","0.0% (0.0, 0.0), 0.0",(0.79% - 11.12%)
No Oxycodone,"94.0% (89.0, 99.0), 79.0","100.0% (100.0, 100.0), 185.0",(-11.12% - -0.79%)
Fentanyl,"12.0% (5.0, 19.0), 10.0","0.0% (0.0, 0.0), 0.0",(4.83% - 18.97%)
No Fentanyl,"88.0% (81.0, 95.0), 74.0","100.0% (100.0, 100.0), 185.0",(-18.97% - -4.83%)
