,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
age,-0.6733036289150669,0.15976515139688563,-4.214333495309365,2.5051688677762923e-05,-0.9864375716375519,-0.36016968619258194,1.960704071546453,0.31313394272248496
aspirin,-0.34078732437924836,0.13635017324437845,-2.4993538055023965,0.012442002340607836,-0.6080287532240269,-0.07354589553446972,1.4060541756167433,0.26724142884477864
ischemic heart disease,-0.2925667121868082,0.12794880175149798,-2.286592044488474,0.02221964602971846,-0.5433417554847997,-0.041791668888816746,1.3398621187143804,0.25077504329799144
systemic hypertension,-0.270796613779863,0.12105147955971023,-2.237036794302783,0.025283935337356296,-0.5080531539921815,-0.03354007356754446,1.3110084022236965,0.23725654021231857
alcohol-related disorders,-0.3113802312861337,0.15037490046176963,-2.070692850535233,0.03838750878918665,-0.6061096203699977,-0.016650842202269645,1.3653082554173077,0.29472938908386404
nicotine dependence,-0.15747992371726738,0.1000570128281115,-1.5739019111814083,0.11551012802665381,-0.3535880652610281,0.03862821782649334,1.170557257307339,0.19610814154376072
obesity,-0.060611550097922184,0.0944975123390417,-0.6414089492690326,0.52125702007355,-0.24582327091107328,0.12460017071522891,1.0624861113898545,0.1852117208131511
median_zip_income,0.05827953009583613,0.10305880336675523,0.5654978341679054,0.5717351970134597,-0.14371201279279938,0.26027107298447166,1.0600112593499702,0.20199154288863552
pregnant,0.04634909440140645,0.08448380066850111,0.548615166868164,0.5832695751170931,-0.11923611218591668,0.21193430098872956,1.04744000258094,0.16558520658732312
mood disorders,0.026144391601555496,0.0903741845413506,0.28929048416025444,0.772359093697348,-0.15098575523166818,0.20327453843477916,1.0264891541863068,0.17713014683322367
diabetes mellitus,0.010898508324978736,0.10010318589068899,0.1088727419412977,0.9133034268819611,-0.18530013075848978,0.20709714740844726,1.01095811340552,0.19619863908346852
hyperlipidemia,0.008168086304149676,0.11070272599964288,0.07378396720037432,0.941182284568869,-0.20880526964555624,0.22514144225385557,1.008201536132756,0.2169733559497059
CMDF CCI,-0.0048974606617429,0.08824409714273443,-0.055499017161695016,0.9557409129364793,-0.17785271290975627,0.16805779158627046,1.004909472823901,0.17295525224801336
race_Native American,-1.0862158076883879,625734.97743449,-1.7359039319519373e-06,0.9999986149490536,-1226419.1058543914,1226416.9334227762,2.963040116615862,1226418.0196385838
race_Other,0.08883910642985407,1436861.1775912093,6.18285940321571e-08,0.9999999506679194,-2816196.0700234747,2816196.2477016873,1.0929048008244655,2816196.158862581
race_White,0.20069918011595592,3987515.066576158,5.0331892611075286e-08,0.99999995984096,-7815385.717600926,7815386.118999287,1.22225703729494,7815385.918300106
marital_status_Legally Separated,-0.0831981718898821,1857027.7695938367,-4.4801792009862587e-08,0.9999999642533418,-3639707.6298928377,3639707.4634964936,1.0867571519286716,3639707.5466946657
marital_status_Widowed,-0.1658776982692643,3743045.0016766638,-4.4316244713852186e-08,0.9999999646407526,-7336233.561676625,7336233.229921229,1.1804287244186522,7336233.395798927
race_Hispanic,-0.10663124602473859,2572722.210390088,-4.144685562790343e-08,0.9999999669301938,-5042442.981222099,5042442.767959606,1.1125239312076,5042442.874590852
race_Asian,0.04093093434794819,1295379.0685420595,3.1597649940426846e-08,0.9999999747887229,-2538896.2797385445,2538896.361600413,1.041780151835262,2538896.3206694787
marital_status_Married,-0.14570051054619199,7080703.202806755,-2.0577124386238507e-08,0.9999999835818302,-13877923.40841916,13877923.117018139,1.1568496718880463,13877923.26271865
marital_status_Single,-0.11470078228332137,6835784.226701674,-1.6779462089409088e-08,0.9999999866119262,-13397891.005123049,13397890.775721483,1.1215378033798982,13397890.890422266
race_African-American,0.05367901952020896,3515528.7567971535,1.5269116890715922e-08,0.9999999878170074,-6890309.696258272,6890309.8036163105,1.0551458665677322,6890309.749937291
marital_status_Divorced,-0.0018570633198370836,3551223.4711551806,-5.229362035143899e-10,0.9999999995827573,-6960270.106374533,6960270.102660405,1.0018587887298238,6960270.104517469
payer_Private insurance,-1.2434481719796335,,,,,,3.4675495813491035,
payer_Medicaid,-1.2115744764676881,,,,,,3.3587687940057984,
payer_Medicare,-1.0274135402579871,,,,,,2.793830351859087,
payer_Self-pay,-0.65784534086143,,,,,,1.9306280043844357,
payer_Other,-0.5833577111058046,,,,,,1.7920455112010054,
initial_discharge_quarter_2,-0.23958509229003389,,,,,,1.2707218086542753,
initial_discharge_quarter_3,-0.10949277955782231,,,,,,1.115712014971973,
initial_discharge_quarter_4,-0.09322054510410628,,,,,,1.0977038017730494,
gender_Male,-0.04385976772002884,,,,,,1.0448358249046452,
gender_Female,0.04385976771999083,,,,,,1.0448358249046055,
initial_discharge_quarter_1,0.1242336746094558,,,,,,1.1322804252743333,
payer_No charge,15.158351378027133,,,,,,3829908.145714746,
