,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
obesity,-0.8771234789115941,0.03961477277751123,-22.141322981651058,1.2646960230210222e-108,-0.9547670068112539,-0.7994799510119344,2.4039746673551488,0.07764352789965977
nicotine dependence,-0.26969251291197965,0.03168314386167213,-8.512176509043764,1.706984648266018e-17,-0.33179033379785833,-0.20759469202610098,1.3095617154999963,0.06209782088587867
age,0.34362182261864804,0.04969848267248723,6.9141310587511144,4.707398267988011e-12,0.24621458649428513,0.44102905874301096,1.4100452874295575,0.0974072361243629
mood disorders,-0.21054079030902137,0.03403057796605833,-6.186812064109287,6.139308401509603e-10,-0.277239497495578,-0.14384208312246471,1.234345401525683,0.06669870718655665
hyperlipidemia,-0.2107668005198189,0.04105626303806955,-5.133608977621385,2.842383232302912e-07,-0.2912355974142382,-0.13029800362539956,1.234624407718015,0.08046879689441934
CMDF CCI,-0.1663471561650022,0.03623357328966571,-4.590967466420061,4.411961119427354e-06,-0.23736365484393948,-0.09533065748606492,1.18098301610181,0.07101649867893728
systemic hypertension,-0.15568529800555686,0.039767852435503945,-3.914853040104427,9.045928853468086e-05,-0.23362885652164805,-0.07774173948946565,1.1684584290252504,0.07794355851609121
aspirin,-0.13682210669918274,0.03884588646080649,-3.5221774855679824,0.00042801748284239805,-0.21295864510989557,-0.06068556828846991,1.1466241536207888,0.07613653841071283
alcohol-related disorders,0.10592445706528837,0.04204118286240079,2.5195403614587897,0.01175081675028118,0.02352525278752028,0.18832366134305645,1.1117378893914596,0.08239920427776809
diabetes mellitus,0.08884968329450849,0.03937338608594522,2.2565923870648352,0.024033556509732143,0.011679264616665366,0.16602010197235162,1.092916360391756,0.07717041867784312
median_zip_income,0.047872403234996544,0.029344202428433115,1.6314092486156822,0.1028039946839308,-0.009641176679785153,0.10538598314977823,1.0490367930832907,0.0575135799147817
pregnant,-0.043463097872270345,0.027454735548362474,-1.5830820076816468,0.11340277394956698,-0.09727339075213233,0.010347195007591639,1.0444214522270543,0.053810292879861985
ischemic heart disease,0.033523424285097324,0.04470155296242335,0.7499386948206813,0.4532916281711111,-0.054090009574262195,0.12113685814445685,1.0340916663005875,0.08761343385935952
race_Native American,0.03444559122711794,226027.4738141061,1.523955944198507e-07,0.9999998784059081,-443005.67374662694,443005.74263780937,1.0350457112770286,443005.70819221815
marital_status_Widowed,0.03996163071480521,292961.67790744605,1.3640565892522673e-07,0.9999998911640308,-574194.2975873871,574194.3775106486,1.0407708397930915,574194.3375490179
race_Other,0.05856879931607514,508497.14833075204,1.1518019227509818e-07,0.9999999080995029,-996636.0384007964,996636.1555383949,1.060317932333796,996636.0969695956
marital_status_Married,-0.0882371300869501,868938.8637497877,-1.0154584375035862e-07,0.9999999189781391,-1703088.9659538711,1703088.789479611,1.0922470959705657,1703088.877716741
race_African-American,0.12026643793520206,1304854.4632119962,9.216846884146549e-08,0.9999999264602017,-2557467.6326954197,2557467.8732282957,1.1277972995360466,2557467.7529618577
initial_discharge_quarter_4,0.06773352662491217,884902.0592969351,7.654352921127479e-08,0.9999999389270998,-1734376.0983337935,1734376.2338008469,1.0700801226213537,1734376.1660673202
race_White,-0.09337314348339332,1445173.4321696467,-6.46103376971245e-08,0.9999999484484091,-2832487.9718397898,2832487.7850935026,1.0978713223754983,2832487.878466646
initial_discharge_quarter_1,-0.03916653613006128,682472.7402621796,-5.738915830545117e-08,0.9999999542100766,-1337622.0305107671,1337621.9521776948,1.0399436574221015,1337621.991344231
race_Asian,-0.024361318133157,460349.03185596043,-5.2919233988482596e-08,0.9999999577765603,-902267.5471168826,902267.4983942464,1.0246604794251029,902267.5227555645
race_Hispanic,-0.046878409133235065,943061.986908576,-4.970872517818877e-08,0.9999999603381756,-1848367.576408002,1848367.4826511838,1.0479945747636776,1848367.529529593
initial_discharge_quarter_3,-0.02790785606629565,899561.1674369427,-3.1023855938347775e-08,0.9999999752465444,-1763107.517975069,1763107.4621593568,1.0283009283633229,1763107.4900672128
gender_Female,-0.04090908779271757,4528301.818859469,-9.03409035642002e-09,0.9999999927918388,-8875308.517000867,8875308.435182692,1.0417573927762414,8875308.47609178
initial_discharge_quarter_2,-0.005299988886027995,699271.2434522486,-7.579303361400014e-09,0.9999999939525909,-1370546.4578909364,1370546.4472909586,1.005314058672713,1370546.4525909475
gender_Male,0.04090908779271779,6335268.637610389,6.457356448920588e-09,0.999999994847775,-12416898.32119341,12416898.403011585,1.0417573927762416,12416898.362102497
payer_Private insurance,-0.1687780336737638,,,,,,1.183857333294989,
marital_status_Divorced,-0.03153790189078521,,,,,,1.0320404911403458,
payer_Medicaid,-0.026665692823935102,,,,,,1.027024403738145,
payer_No charge,-0.008889940444561822,,,,,,1.0089295733227,
marital_status_Legally Separated,0.03685092956471341,,,,,,1.0375383430170784,
marital_status_Single,0.05728668849195269,,,,,,1.0589593583430519,
payer_Medicare,0.08285131953239457,,,,,,1.0863802730129573,
payer_Other,0.09552208501105988,,,,,,1.1002331204262523,
payer_Self-pay,0.13123801307192062,,,,,,1.140239140837787,
