,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
age,0.49545156244528393,0.06996365027530013,7.081556786927647,1.425439333048516e-12,0.3583253276787398,0.632577797211828,1.641239193734419,0.1371262347665441
obesity,-0.26652830758338814,0.04354310867897438,-6.121021573089622,9.297731380312029e-10,-0.35187123236909135,-0.1811853827976849,1.305424542226399,0.08534292478570324
nicotine dependence,-0.1561336783892964,0.040939539996547245,-3.813762401884935,0.000136867058506422,-0.23637370232616606,-0.07589365445242675,1.1689824603379415,0.08024002393686964
aspirin,-0.1393919598554324,0.03680092929847938,-3.787729345769322,0.0001520303289938628,-0.21152045587805687,-0.06726346383280793,1.1495745988026709,0.07212849602262447
CMDF CCI,0.1384061179569916,0.03989476019243512,3.4692806095181465,0.0005218540860448138,0.06021382480795652,0.21659841110602668,1.1484418584409832,0.07819229314903507
alcohol-related disorders,0.113713098119893,0.033266133067295395,3.418284231890079,0.0006301726073959737,0.04851267540307706,0.17891352083670892,1.1204306251140395,0.06520042271681593
hyperlipidemia,-0.13803637252716877,0.044656280459067145,-3.0910853100202944,0.001994263283338489,-0.22556107391046015,-0.050511671143877376,1.1480173058054426,0.0875247013832914
diabetes mellitus,0.07878862994242625,0.04228711226440865,1.8631830296139529,0.06243651965414911,-0.004092587106016718,0.16166984699086923,1.081975600653733,0.08288121704844297
median_zip_income,0.062465384563923074,0.04206814762629684,1.4848617799580959,0.13758044231812755,-0.0199866696799329,0.14491743880777905,1.064457611615709,0.08245205424385597
ischemic heart disease,0.041991498581249405,0.03664485010322921,1.1459044985300415,0.2518346696939817,-0.02983108783994872,0.11381408500244752,1.0428856127057737,0.07182258642119813
systemic hypertension,-0.02702078168614422,0.05295822070546383,-0.510228276671622,0.6098915441772199,-0.1308169869541767,0.07677542358188826,1.0273891534205717,0.10379620526803247
pregnant,-0.0073272738807431,0.029915429530320527,-0.24493293246271472,0.806508361765845,-0.06596043834221732,0.05130589058073112,1.007354184037883,0.05863316446147422
mood disorders,-0.00047546640865198786,0.03994051441857352,-0.011904363666154534,0.990501916360161,-0.07875743619305882,0.07780650337575486,1.0004755794607216,0.07828196978440684
race_Native American,-0.0695121486979541,35989.46746084312,-1.9314581071138093e-06,0.9999984589193965,-70538.1295581774,70537.99053388002,1.0719850843486647,70538.06004602871
race_Other,0.08035975284157727,80605.55764014956,9.969505229444644e-07,0.9999992045485698,-157983.9095687077,157984.07028821338,1.083676853384853,157983.98992846053
race_Asian,0.0737362080835575,75309.7246046602,9.791060645970638e-07,0.9999992187863876,-147604.27417455585,147604.421646972,1.0765227900274992,147604.34791076393
race_African-American,0.07927857330385976,150219.2439156116,5.277524452752269e-07,0.999999578914472,-294424.2285808631,294424.38713800965,1.082505837298862,294424.3078594364
race_White,-0.09858222940617936,212974.75017847665,-4.628822399066823e-07,0.9999996306734074,-417422.9385484591,417422.7413840003,1.1036051494594803,417422.8399662297
marital_status_Widowed,0.09705271004398748,806395.4071902039,1.2035374851917495e-07,0.9999999039716022,-1580505.8583386012,1580506.0524440215,1.1019184542604754,1580505.9553913113
marital_status_Married,-0.11518312162551936,1525808.4975850952,-7.548989392038402e-08,0.9999999397677791,-2990529.8177550784,2990529.5873888354,1.1220788956707899,2990529.702571957
marital_status_Single,0.06894537602036756,1472745.2959985698,4.681418858216099e-08,0.9999999626476817,-2886527.669612602,2886527.8075033543,1.0713776846371157,2886527.738557978
marital_status_Legally Separated,0.01741004499797876,400044.9391999319,4.3520223084931163e-08,0.999999965275886,-784073.6556193372,784073.6904394273,1.0175624831983974,784073.6730293822
initial_discharge_quarter_4,0.0669821642636096,1601695.6042943962,4.181953430103695e-08,0.9999999666328392,-3139265.6316309706,3139265.7655952987,1.0692764066724056,3139265.6986131347
initial_discharge_quarter_2,-0.05251538208435068,1276343.8993527924,-4.1145166370114e-08,0.999999967170907,-2501588.1271342705,2501588.0221035066,1.0539187734213264,2501588.0746188886
initial_discharge_quarter_1,-0.04864386695993937,1236270.3624096413,-3.934727260235096e-08,0.9999999686054187,-2423045.4341210444,2423045.3368333103,1.0498463991659934,2423045.3854771773
marital_status_Divorced,-0.011745643415734482,765148.103962752,-1.5350810326658364e-08,0.9999999877518254,-1499662.7383517462,1499662.7148604596,1.0118148943520344,1499662.726606103
initial_discharge_quarter_3,0.012356311971849037,1679483.261665669,7.3572105503417516e-09,0.9999999941297953,-3291726.693146259,3291726.717858883,1.0124329665920573,3291726.705502571
race_Hispanic,-0.00043322514634667217,146556.3747661649,-2.9560307222247817e-09,0.9999999976414288,-287245.2166796631,287245.21581321285,1.0004333190019135,287245.216246438
payer_Private insurance,-0.13020151364143537,,,,,,1.1390578959032966,
payer_No charge,-0.09237716619980393,,,,,,1.096778411825493,
gender_Female,-0.04622055496731079,,,,,,1.0473053738884923,
payer_Medicare,0.004614233626961969,,,,,,1.0046248955955746,
gender_Male,0.04622055496731149,,,,,,1.0473053738884932,
payer_Other,0.04752868895582419,,,,,,1.048676286117376,
payer_Medicaid,0.05348255339911204,,,,,,1.0549385865145569,
payer_Self-pay,0.09798610491814122,,,,,,1.1029474594567974,
