,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
CMDF CCI,0.1704965897349896,0.06772152372349308,2.5176130181465943,0.011815305643743982,0.037764842258768305,0.3032283372112109,1.1858936077154567,0.1327317474762213
age,0.19117623511726956,0.08190735345365847,2.334054600182305,0.01959286311378799,0.030640772279106526,0.35171169795543256,1.2106727963436106,0.16053546283816303
Diabetes Mellitus,-0.14097790688877132,0.07104138791874655,-1.984447531487061,0.04720597172820913,-0.2802164686212535,-0.0017393451562891793,1.151399209712931,0.13923856173248214
Nicotine Dependence,0.12770917452854455,0.06882459069262212,1.855574777028565,0.06351419163974593,-0.0071845444797054014,0.2626028935367945,1.1362225121940743,0.13489371900824995
Ischemic Heart Disease,-0.12271842951219672,0.07156590056893905,-1.714761199630021,0.08638901795214593,-0.2629850171484918,0.01754815812409838,1.130566042094582,0.1402665876362951
median_zip_income,0.0952061506775289,0.06673077450797857,1.426720300783347,0.15366053170143582,-0.03558376401857265,0.22599606537363043,1.0998855739124507,0.13078991469610154
Mood Disorders,-0.09377449984498555,0.07028718439171641,-1.334162132919884,0.18215072667662913,-0.23153484982747552,0.04398585013750443,1.0983120484531346,0.13776034998248998
Obesity,-0.09000362183622533,0.06901349020949032,-1.3041453426427139,0.19218403149926155,-0.225267577094234,0.04526033342178333,1.0941782466324443,0.13526395525800866
Aspirin,-0.08101359119246135,0.06973916881993103,-1.1616655684790462,0.2453713369070395,-0.21769985039128487,0.05567266800636217,1.0843856345604683,0.13668625919882352
Pregnant,0.07266180655541227,0.06917241986439408,1.0504447682741012,0.29351367193394573,-0.06291364510228314,0.20823725821310768,1.0753667934102773,0.1355754516576954
Systemic Hypertension,-0.051453373927556834,0.075613185676297,-0.6804814989257394,0.49619963253506627,-0.19965249460943885,0.09674574675432518,1.0528000972141258,0.148199120681882
Opioid Use Disorder,-0.04286719372103629,0.06750538119988138,-0.6350189119606308,0.5254160806895309,-0.17517530963545105,0.08944092219337849,1.0437992625491521,0.13230811591441477
Alcohol-Related Disorders,-0.038915835474254805,0.06385865253090747,-0.6094058351046416,0.5422554711499654,-0.16407649453609102,0.0862448235875814,1.0396829755431083,0.1251606590618362
Hyperlipidemia,-0.034159324833266724,0.06906182674009678,-0.4946194800467691,0.6208687488839624,-0.16951801795040167,0.10119936828386822,1.0347494548799385,0.13535869311713494
race_Native American,-1.1665484900568686,249636.19656524496,-4.6729941655395285e-06,0.9999962714901026,-489279.1210539317,489276.7879569516,3.2108910685105814,489277.95450544165
race_White,5.757367976929912,49128317.63872978,1.1719041590773207e-07,0.9999999064955765,-96289727.43558626,96289738.95032223,316.5141590536109,96289733.19295424
race_Asian,5.12257382079466,67960965.60189435,7.537523599652729e-08,0.9999999398592629,-133201039.81170458,133201050.05685222,167.76661561199882,133201044.9342784
marital_status_Divorced,-0.05291103121577449,2194404.7965055867,-2.411179163481189e-08,0.9999999807615737,-4300954.421563927,4300954.315741865,1.0543358379687942,4300954.368652896
marital_status_Single,0.10330779342210755,5501410.742421942,1.877841852917663e-08,0.9999999850169898,-10782566.816000974,10782567.02261656,1.1088326479530304,10782566.919308767
marital_status_Married,0.04909122990595979,5086355.885420099,9.65155231207444e-09,0.9999999922991755,-9969074.298885502,9969074.39706796,1.0503161666144334,9969074.347976731
marital_status_Legally Separated,-0.01236365863295745,1282277.8565488188,-9.641949730172808e-09,0.9999999923068372,-2513218.4293725616,2513218.404645244,1.0124404046212803,2513218.417008903
marital_status_Widowed,0.010628804623214135,1119624.0821338517,9.49319043134288e-09,0.99999999242553,-2194422.86657726,2194422.8878348693,1.010685491025291,2194422.8772060648
race_African-American,-1.260005277096443,,,,,,3.5254400914036608,
race_Hispanic,-0.8594155092388256,,,,,,2.3617798516971633,
race_Other,-0.7628065141724751,,,,,,2.144285751987442,
initial_discharge_quarter_1,-0.08675968325191746,,,,,,1.0906345504739992,
gender_Female,-0.042346370305522366,,,,,,1.04325576899649,
initial_discharge_quarter_2,-0.031090085123291488,,,,,,1.0315784295708617,
initial_discharge_quarter_3,0.01501687641406597,,,,,,1.015130196228681,
payer_Other,0.021594815439374474,,,,,,1.0218296709736385,
payer_No charge,0.028485476721150513,,,,,,1.0288950677960367,
initial_discharge_quarter_4,0.03255151758357214,,,,,,1.0330871139247868,
gender_Male,0.04234637030552305,,,,,,1.0432557689964908,
payer_Medicaid,0.07183700540440825,,,,,,1.0744801953251442,
payer_Medicare,0.20919898801842995,,,,,,1.2326902647200435,
payer_Private insurance,0.21851064105101595,,,,,,1.2442222563892291,
payer_Self-pay,0.48845153383512574,,,,,,1.629790589449746,
