,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
CMDF CCI,0.16078284177930807,0.07009800643880687,2.2936863678094173,0.021808520345822605,0.0233932737711898,0.2981724097874263,1.174429904011882,0.13738956800811827
Nicotine Dependence,0.1498772029500215,0.07095097749346406,2.1124050470457303,0.03465172248188177,0.010815842394919978,0.28893856350512304,1.16169158167007,0.13906136055510152
age,0.17318391980724823,0.08482521603485227,2.041656100658699,0.04118565621138783,0.006929551398108302,0.33943828821638816,1.189084781217743,0.16625436840913993
Diabetes Mellitus,-0.12490671743051371,0.07244373584232802,-1.724189344712565,0.0846736670597607,-0.2668938305870101,0.01708039572598266,1.1330427549974853,0.14198711315649637
Ischemic Heart Disease,-0.12069056445209034,0.073249236456442,-1.64766993201164,0.09942042137453701,-0.264256429801775,0.02287530089759432,1.128275729726748,0.14356586534968466
Mood Disorders,-0.12139934294340722,0.0738691927410723,-1.6434367080325152,0.1002926104323104,-0.26618030028295653,0.023381614396142072,1.1290757107674405,0.1447809573395493
median_zip_income,0.10823434540500022,0.06961170468302101,1.554829692762856,0.11998663542309215,-0.028202088676159184,0.24467077948615962,1.1143088479494478,0.1364364340811594
Aspirin,-0.08609880153597955,0.07054868374132238,-1.220416837990544,0.22230689749446808,-0.22437168082567788,0.05217407775371878,1.0899140081636656,0.13827287928969834
Pregnant,0.07057530728122823,0.06915924105193984,1.0204754448971598,0.30750302906727345,-0.06497431437869787,0.2061249289411543,1.073125380542668,0.1355496216599261
Systemic Hypertension,-0.05839796230442229,0.07774805975418979,-0.751117937721594,0.4525816812931712,-0.21078135929050232,0.09398543468165774,1.0601368062587933,0.15238339698608003
Obesity,-0.05132160469998546,0.07169486405111757,-0.7158337682793258,0.4740939986814863,-0.19184095611667132,0.08919774671670042,1.0526613796980795,0.14051935141668587
Opioid Use Disorder,-0.04953121369715665,0.07154940947285467,-0.692265863018037,0.4887703837503866,-0.18976547937906077,0.09070305198474746,1.0507783903814019,0.1402342656819041
Alcohol-Related Disorders,-0.036855270315920556,0.06514463471552598,-0.5657452908725391,0.5715669420606057,-0.16453640814436918,0.09082586751252805,1.037542846722668,0.12768113782844862
Hyperlipidemia,-0.02593965130448002,0.07182178527332711,-0.3611668967258794,0.717974686902427,-0.1667077637455704,0.11482846113661037,1.0262790120049543,0.1407681124410904
marital_status_Divorced,-0.10890189400815972,783994.1196815579,-1.3890651890653644e-07,0.9999998891686331,-1536600.3475689322,1536600.1297651443,1.1150529515994285,1536600.2386670383
payer_Self-pay,0.3303799990331842,3262608.4729733085,1.0126253326746849e-07,0.9999999192041881,-6394594.772302908,6394595.433062906,1.3914967954478963,6394595.102682907
marital_status_Legally Separated,-0.041120514192995124,459003.51384291094,-8.958649106784002e-08,0.9999999285203219,-899630.3970299517,899630.3147889234,1.0419776710772621,899630.3559094375
marital_status_Widowed,0.01601890359933777,398430.2093971952,4.020504274405689e-08,0.9999999679210171,-780908.8447523512,780908.8767901583,1.0161478940771953,780908.8607712548
marital_status_Married,-0.06181323194411444,1808858.329804986,-3.417251142646343e-08,0.9999999727342808,-3545297.24136628,3545297.1177398157,1.0637636491049485,3545297.1795530478
payer_Other,-0.04821613921152338,1592245.2340988012,-3.028185494228428e-08,0.9999999758385755,-3120743.361605337,3120743.265173058,1.049397446751043,3120743.3133891975
payer_No charge,0.011045455341333135,380939.6633546547,2.8995288240830464e-08,0.9999999768651072,-746628.0094124804,746628.0315033911,1.0111066815995033,746628.0204579358
payer_Medicaid,-0.13029034089944364,4502044.160689893,-2.8940262744885635e-08,0.9999999769090112,-8823844.542051388,8823844.281470707,1.1391590797867792,8823844.411761047
payer_Medicare,0.0721816361084898,3000076.379035009,2.4059932811346427e-08,0.999999980802951,-5880041.581596318,5880041.725959591,1.074850558006891,5880041.653777954
payer_Private insurance,0.047435898776138706,4174496.283752507,1.1363262906895675e-08,0.999999990933428,-8181862.322315314,8181862.4171871105,1.048578983770776,8181862.369751212
marital_status_Single,-0.015562759655850725,1991239.4970129384,-7.81561418362605e-09,0.9999999937640421,-3902757.7143017715,3902757.683176252,1.015684490067126,3902757.698739012
gender_Female,-0.04470109601595442,385638556.1110337,-1.159144885997447e-10,0.9999999999075136,-755837681.0723559,755837680.9829537,1.045715244737255,755837681.0276548
gender_Male,0.04470109601595405,399355886.65695304,1.1193298386096491e-10,0.9999999999106904,-782723154.8169868,782723154.906389,1.0457152447372549,782723154.8616879
race_Native American,-1.1850820424746271,,,,,,3.27095516771426,
race_African-American,-1.0906738784718728,,,,,,2.9762790473088003,
race_Hispanic,-0.7391229726847344,,,,,,2.094098127634123,
race_Other,-0.6566193306585757,,,,,,1.928262485124819,
initial_discharge_quarter_1,-0.048482863001965304,,,,,,1.049677383346936,
initial_discharge_quarter_2,0.014128420934565733,,,,,,1.0142286987729126,
initial_discharge_quarter_3,0.03354166610473014,,,,,,1.0341105301863032,
initial_discharge_quarter_4,0.07273509246615714,,,,,,1.075445605532991,
race_Asian,4.5634222178629456,,,,,,95.91114767773178,
race_White,4.801798292599336,,,,,,121.72912539473927,
