,"IV Antibiotics (%, 95% CI, N)","No IV Antibiotics (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,10042 (61.6%),6256 (38.4%), , 
Age (mean years),37.9 (37.6-38.2),42.5 (42.1-42.9),-4.6 (-5.1--4.1),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Geriatric (>65),"5.8% (5.3-6.2), 579.0","12.7% (11.9-13.6), 797.0",-7.0% (-7.9--6.0),< 0.00001
White,"58.0% (57.1-59.0), 5828.0","56.4% (55.1-57.6), 3527.0",1.7% (0.1-3.2),0.03755
African American or Hispanic,"32.7% (31.7-33.6), 3280.0","35.9% (34.7-37.1), 2246.0",-3.2% (-4.7--1.7),2e-05
Female,"48.9% (47.9-49.9), 4908.0","50.6% (49.3-51.8), 3163.0",-1.7% (-3.3--0.1),0.03645
Married,"43.8% (42.8-44.8), 4399.0","43.4% (42.2-44.6), 2714.0",0.4% (-1.1-2.0),0.59579
Medicaid,"19.7% (18.9-20.5), 1980.0","19.3% (18.3-20.3), 1209.0",0.4% (-0.9-1.6),0.53915
Medicare,"5.2% (4.8-5.7), 527.0","12.9% (12.1-13.8), 809.0",-7.7% (-8.6--6.7),< 0.00001
Private Insurance,"63.3% (62.4-64.3), 6361.0","56.6% (55.4-57.8), 3542.0",6.7% (5.2-8.3),< 0.00001
Uninsured,"8.0% (7.5-8.6), 806.0","7.3% (6.6-7.9), 456.0",0.7% (-0.1-1.6),0.08359
Zip Code Income (mean quartile),3.3 (3.3-3.3),3.2 (3.2-3.2),0.1 (0.1-0.1),< 0.00001
Charleston Comorbidity Index (mean),0.5 (0.5-0.5),0.4 (0.4-0.4),0.1 (0.1-0.2),< 0.00001
Diabetes Mellitus,"4.8% (4.4-5.3), 487.0","9.5% (8.8-10.2), 593.0",-4.6% (-5.5--3.8),< 0.00001
Hyperlipidemia,"9.8% (9.2-10.4), 983.0","16.1% (15.2-17.0), 1005.0",-6.3% (-7.4--5.2),< 0.00001
Obesity,"9.9% (9.3-10.5), 995.0","15.6% (14.7-16.5), 975.0",-5.7% (-6.7--4.6),< 0.00001
Hypertension,"16.3% (15.6-17.0), 1635.0","27.3% (26.2-28.4), 1705.0",-11.0% (-12.3--9.7),< 0.00001
Ischemic Heart Disease,"1.6% (1.4-1.9), 163.0","4.4% (3.9-4.9), 273.0",-2.7% (-3.3--2.2),< 0.00001
Mood Disorders,"11.8% (11.2-12.4), 1185.0","14.6% (13.8-15.5), 916.0",-2.8% (-3.9--1.8),< 0.00001
Aspirin,"3.3% (3.0-3.7), 334.0","5.5% (4.9-6.0), 341.0",-2.1% (-2.8--1.5),< 0.00001
Nicotine Dependence,"22.3% (21.5-23.1), 2236.0","27.1% (26.0-28.2), 1696.0",-4.8% (-6.2--3.5),< 0.00001
Alcohol-Related Disorders,"0.8% (0.6-1.0), 81.0","1.2% (1.0-1.5), 78.0",-0.4% (-0.8--0.1),0.00813
Antibiotic Treatment,"100.0% (100.0-100.0), 10042.0","3.9% (3.5-4.4), 246.0",96.1% (95.6-96.5),< 0.00001
pregnant,"0.4% (0.3-0.5), 42.0","0.4% (0.2-0.6), 25.0",0.0% (-0.2-0.2),0.85583
appendecolith,"3.3% (3.0-3.7), 332.0","3.7% (3.3-4.2), 233.0",-0.4% (-1.0-0.2),0.16127
bowel obstruction,"1.2% (1.0-1.4), 120.0","7.4% (6.7-8.0), 462.0",-6.2% (-6.9--5.5),< 0.00001
Recurrent ED Visits (# / 1000 patients),205.1 (191.5-218.8),268.7 (248.9-288.5),-63.6 (-87.6--39.5),< 0.00001
Repeat Hospitalizations (# / 1000 patients),25.6 (22.1-29.1),62.5 (55.6-69.4),-36.9 (-44.6--29.2),< 0.00001
Cost (USD),3063.8 (3011.2-3116.3),7950.0 (7702.8-8197.2),-4886.2 (-5138.9--4633.5),< 0.00001
Deaths (%),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Length of Stay (mean days),2.0 (1.9-2.0),2.8 (2.7-2.9),-0.8 (-0.9--0.7),< 0.00001
Admitted,"0.0% (0.0-0.0), 0.0","58.1% (56.9-59.3), 3636.0",-58.1% (-59.3--56.9),< 0.00001
Complicated,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Uncomplicated,"100.0% (100.0-100.0), 10042.0","100.0% (100.0-100.0), 6256.0",0.0% (nan-nan),
Non-Surgical Management,"5.9% (5.5-6.4), 596.0","10.2% (9.4-10.9), 636.0",-4.2% (-5.1--3.4),< 0.00001
Immediate Appendectomy,"91.9% (91.3-92.4), 9226.0","85.1% (84.2-86.0), 5322.0",6.8% (5.8-7.8),< 0.00001
Delayed Appendectomy,"1.6% (1.4-1.9), 164.0","3.1% (2.7-3.5), 195.0",-1.5% (-2.0--1.0),< 0.00001
Return Emergency Appendectomy,"0.6% (0.4-0.7), 56.0","1.6% (1.3-2.0), 103.0",-1.1% (-1.4--0.7),< 0.00001
Morphine on Initial Visit,"55.7% (54.8-56.7), 5598.0","12.3% (11.5-13.1), 768.0",43.5% (42.2-44.7),< 0.00001
- Morphine,"44.3% (43.3-45.2), 4444.0","87.7% (86.9-88.5), 5488.0",-43.5% (-44.7--42.2),< 0.00001
Opioid on Initial Visit,"89.5% (88.9-90.1), 8991.0","25.4% (24.3-26.4), 1586.0",64.2% (62.9-65.4),< 0.00001
- Opioid,"10.5% (9.9-11.1), 1051.0","74.6% (73.6-75.7), 4670.0",-64.2% (-65.4--62.9),< 0.00001
New Complicated Appendicitis,"0.7% (0.5-0.9), 70.0","1.6% (1.3-1.9), 102.0",-0.9% (-1.3--0.6),< 0.00001
No New Complicated Appendicitis,"99.3% (99.1-99.5), 9972.0","98.4% (98.1-98.7), 6154.0",0.9% (0.6-1.3),< 0.00001
Immediate Appendectomy Obtained,"91.9% (91.3-92.4), 9226.0","85.1% (84.2-86.0), 5322.0",6.8% (5.8-7.8),< 0.00001
Initial Management Without Appendectomy,"8.1% (7.6-8.7), 816.0","14.9% (14.0-15.8), 934.0",-6.8% (-7.8--5.8),< 0.00001
IV Antibiotics,"100.0% (100.0-100.0), 10042.0","0.0% (0.0-0.0), 0.0",100.0% (nan-nan),< 0.00001
No IV Antibiotics,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 6256.0",-100.0% (nan-nan),< 0.00001
2016-18,"56.4% (55.5-57.4), 5666.0","73.0% (71.9-74.1), 4567.0",-16.6% (-18.0--15.1),< 0.00001
2019-21,"43.6% (42.6-44.5), 4376.0","27.0% (25.9-28.1), 1689.0",16.6% (15.1-18.0),< 0.00001
