,"Delayed Appendectomy (%, 95% CI, N)","Immediate Appendectomy (%, 95% CI, N)","Non-Surgical Management (%, 95% CI, N)","Return Emergency Appendectomy (%, 95% CI, N)",P-value (ANOVA)
Totals,355 (2.3%),14059 (89.2%),1187 (7.5%),156 (1.0%), 
Age (mean years),43.2 (41.4-44.9),39.2 (38.9-39.4),44.3 (43.2-45.3),43.9 (41.3-46.6),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",
Geriatric (>65),"12.4% (8.9-15.8), 44.0","7.6% (7.2-8.0), 1068.0","17.0% (14.9-19.2), 202.0","14.1% (8.6-19.6), 22.0",< 0.00001
White,"53.0% (47.7-58.2), 188.0","58.5% (57.7-59.3), 8229.0","49.3% (46.4-52.1), 585.0","37.2% (29.5-44.8), 58.0",< 0.00001
African American or Hispanic,"37.7% (32.7-42.8), 134.0","32.8% (32.0-33.6), 4611.0","41.7% (38.9-44.5), 495.0","54.5% (46.6-62.4), 85.0",< 0.00001
Female,"47.6% (42.4-52.8), 169.0","49.6% (48.8-50.4), 6970.0","51.5% (48.6-54.3), 611.0","49.4% (41.4-57.3), 77.0",0.53087
Married,"43.1% (37.9-48.3), 153.0","43.8% (43.0-44.6), 6161.0","41.8% (39.0-44.6), 496.0","35.9% (28.3-43.5), 56.0",0.12894
Medicaid,"20.3% (16.1-24.5), 72.0","19.2% (18.6-19.9), 2701.0","22.6% (20.2-25.0), 268.0","21.8% (15.2-28.3), 34.0",0.03572
Medicare,"12.4% (8.9-15.8), 44.0","7.4% (6.9-7.8), 1036.0","16.4% (14.3-18.5), 195.0","14.7% (9.1-20.4), 23.0",< 0.00001
Private Insurance,"61.1% (56.0-66.2), 217.0","62.0% (61.2-62.8), 8713.0","48.8% (45.9-51.6), 579.0","49.4% (41.4-57.3), 77.0",< 0.00001
Uninsured,"3.7% (1.7-5.6), 13.0","7.6% (7.1-8.0), 1066.0","9.2% (7.5-10.8), 109.0","12.2% (7.0-17.4), 19.0",0.00088
Zip Code Income (mean quartile),2.9 (2.8-3.1),3.3 (3.3-3.3),3.1 (3.1-3.2),3.3 (3.1-3.4),< 0.00001
Charleston Comorbidity Index (mean),0.5 (0.5-0.6),0.5 (0.5-0.5),0.5 (0.5-0.5),0.6 (0.5-0.7),0.00118
Diabetes Mellitus,"13.2% (9.7-16.8), 47.0","6.0% (5.6-6.4), 838.0","11.4% (9.6-13.2), 135.0","14.7% (9.1-20.4), 23.0",< 0.00001
Hyperlipidemia,"22.3% (17.9-26.6), 79.0","11.5% (11.0-12.0), 1615.0","17.4% (15.3-19.6), 207.0","19.2% (13.0-25.5), 30.0",< 0.00001
Obesity,"22.0% (17.6-26.3), 78.0","11.8% (11.2-12.3), 1653.0","11.3% (9.5-13.1), 134.0","19.9% (13.5-26.2), 31.0",< 0.00001
Hypertension,"34.1% (29.1-39.0), 121.0","19.4% (18.8-20.1), 2732.0","27.6% (25.1-30.2), 328.0","35.9% (28.3-43.5), 56.0",< 0.00001
Ischemic Heart Disease,"7.3% (4.6-10.0), 26.0","2.3% (2.0-2.5), 323.0","6.1% (4.7-7.4), 72.0","3.8% (0.8-6.9), 6.0",< 0.00001
Mood Disorders,"14.4% (10.7-18.0), 51.0","12.6% (12.1-13.2), 1774.0","14.7% (12.7-16.8), 175.0","17.3% (11.3-23.3), 27.0",0.04686
