,"Immediate Appendectomy Obtained (%, 95% CI, N)","Initial Management Without Appendectomy (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,14059 (89.2%),1698 (10.8%), , 
Age (mean years),39.2 (38.9-39.4),44.0 (43.2-44.9),-4.8 (-5.7--4.0),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Geriatric (>65),"7.6% (7.2-8.0), 1068.0","15.8% (14.0-17.5), 268.0",-8.2% (-10.0--6.4),< 0.00001
White,"58.5% (57.7-59.3), 8229.0","48.9% (46.6-51.3), 831.0",9.6% (7.1-12.1),< 0.00001
African American or Hispanic,"32.8% (32.0-33.6), 4611.0","42.0% (39.7-44.4), 714.0",-9.3% (-11.7--6.8),< 0.00001
Female,"49.6% (48.8-50.4), 6970.0","50.5% (48.1-52.9), 857.0",-0.9% (-3.4-1.6),0.48646
Married,"43.8% (43.0-44.6), 6161.0","41.5% (39.2-43.9), 705.0",2.3% (-0.2-4.8),0.06931
Medicaid,"19.2% (18.6-19.9), 2701.0","22.0% (20.1-24.0), 374.0",-2.8% (-4.9--0.7),0.00797
Medicare,"7.4% (6.9-7.8), 1036.0","15.4% (13.7-17.1), 262.0",-8.1% (-9.8--6.3),< 0.00001
Private Insurance,"62.0% (61.2-62.8), 8713.0","51.4% (49.0-53.8), 873.0",10.6% (8.0-13.1),< 0.00001
Uninsured,"7.6% (7.1-8.0), 1066.0","8.3% (7.0-9.6), 141.0",-0.7% (-2.1-0.7),0.30693
Zip Code Income (mean quartile),3.3 (3.3-3.3),3.1 (3.1-3.2),0.2 (0.1-0.2),< 0.00001
Charleston Comorbidity Index (mean),0.5 (0.5-0.5),0.5 (0.5-0.5),-0.0 (-0.1--0.0),0.01008
Diabetes Mellitus,"6.0% (5.6-6.4), 838.0","12.1% (10.5-13.6), 205.0",-6.1% (-7.7--4.5),< 0.00001
Hyperlipidemia,"11.5% (11.0-12.0), 1615.0","18.6% (16.8-20.5), 316.0",-7.1% (-9.0--5.2),< 0.00001
Obesity,"11.8% (11.2-12.3), 1653.0","14.3% (12.6-16.0), 243.0",-2.6% (-4.3--0.8),0.00426
