,Odds Ratio of ____ (95% CI),P-value
appendecolith,"0.0 (-0.25, 0.25)",< 0.00001
Antibiotic Treatment,"1.14 (1.09, 1.19)",< 0.00001
CMDF CCI,"1.11 (1.06, 1.16)",0.0001
Diabetes Mellitus,"0.91 (0.85, 0.96)",0.00015
Alcohol-Related Disorders,"0.94 (0.89, 0.98)",0.00207
Ischemic Heart Disease,"0.93 (0.89, 0.98)",0.00399
Aspirin,"0.96 (0.91, 1.01)",0.088
Obesity,"1.04 (0.99, 1.1)",0.1243
median_zip_income,"0.98 (0.93, 1.03)",0.36483
Nicotine Dependence,"0.98 (0.92, 1.03)",0.4125
Mood Disorders,"0.98 (0.93, 1.03)",0.51562
pregnant,"1.02 (0.96, 1.07)",0.52181
Hyperlipidemia,"0.98 (0.92, 1.04)",0.52316
Hypertension,"0.99 (0.93, 1.06)",0.86464
bowel obstruction,"1.0 (0.94, 1.06)",0.96584
race_Native American,"1.06 (-406754.69, 406756.81)",1.0
race_Hispanic,"0.9 (-1936520.91, 1936522.71)",1.0
race_White,"1.15 (-2559470.41, 2559472.7)",1.0
race_African-American,"0.91 (-1974680.87, 1974682.7)",1.0
race_Other,"0.97 (-998719.79, 998721.72)",1.0
Geriatric_True,"0.93 (-2736996.49, 2736998.36)",1.0
Geriatric_False,"1.07 (-2736996.35, 2736998.49)",1.0
race_Asian,"1.01 (-985316.96, 985318.98)",1.0
Pediatric_True,"0.77 (nan, nan)",
initial_discharge_quarter_4.0,"0.94 (nan, nan)",
payer_Medicare,"0.94 (nan, nan)",
payer_Self-pay,"0.95 (nan, nan)",
gender_Female,"0.97 (nan, nan)",
payer_Medicaid,"0.98 (nan, nan)",
payer_Other,"0.99 (nan, nan)",
marital_status_Single,"0.99 (nan, nan)",
marital_status_Married,"0.99 (nan, nan)",
marital_status_Widowed,"1.0 (nan, nan)",
marital_status_Divorced,"1.0 (nan, nan)",
initial_discharge_quarter_2.0,"1.01 (nan, nan)",
payer_No charge,"1.02 (nan, nan)",
initial_discharge_quarter_1.0,"1.03 (nan, nan)",
gender_Male,"1.03 (nan, nan)",
initial_discharge_quarter_3.0,"1.03 (nan, nan)",
marital_status_Legally Separated,"1.04 (nan, nan)",
payer_Private insurance,"1.08 (nan, nan)",
Pediatric_False,"1.29 (nan, nan)",
