,Odds Ratio of ____ (95% CI),P-value
CMDF CCI,"1.89 (1.85, 1.93)",< 0.00001
bowel obstruction,"0.14 (-0.01, 0.29)",< 0.00001
median_zip_income,"1.26 (1.23, 1.3)",< 0.00001
Diabetes Mellitus,"0.79 (0.75, 0.83)",< 0.00001
Obesity,"0.89 (0.85, 0.92)",< 0.00001
Hypertension,"0.87 (0.83, 0.92)",< 0.00001
Ischemic Heart Disease,"0.89 (0.84, 0.93)",< 0.00001
Hyperlipidemia,"0.93 (0.89, 0.97)",0.0006
Alcohol-Related Disorders,"0.96 (0.92, 0.99)",0.02217
pregnant,"1.02 (0.99, 1.06)",0.19667
Aspirin,"0.97 (0.93, 1.02)",0.23213
Mood Disorders,"0.98 (0.94, 1.01)",0.23708
Nicotine Dependence,"0.98 (0.94, 1.02)",0.27602
payer_Medicare,"0.85 (-1542508.21, 1542509.92)",1.0
marital_status_Widowed,"0.94 (-720077.43, 720079.3)",1.0
marital_status_Divorced,"0.96 (-1005544.4, 1005546.33)",1.0
payer_Other,"1.03 (-1134682.88, 1134684.93)",1.0
payer_Self-pay,"1.03 (-1399851.98, 1399854.05)",1.0
initial_discharge_quarter_3.0,"0.96 (-1940466.16, 1940468.08)",1.0
initial_discharge_quarter_2.0,"1.03 (-1748248.87, 1748250.93)",1.0
initial_discharge_quarter_1.0,"1.02 (-1742024.53, 1742026.58)",1.0
Geriatric_True,"0.96 (-3417568.13, 3417570.06)",1.0
Geriatric_False,"1.04 (-3417568.05, 3417570.14)",1.0
payer_Private insurance,"1.02 (-2843259.02, 2843261.07)",1.0
gender_Male,"0.99 (-2054290.01, 2054291.98)",1.0
gender_Female,"1.01 (-2054478.5, 2054480.53)",1.0
payer_Medicaid,"1.01 (-2512358.62, 2512360.65)",1.0
marital_status_Single,"1.01 (-2689647.23, 2689649.25)",1.0
marital_status_Married,"0.99 (-2542226.95, 2542228.92)",1.0
payer_No charge,"1.0 (-455707.93, 455709.92)",1.0
marital_status_Legally Separated,"1.0 (-527243.93, 527245.93)",1.0
initial_discharge_quarter_4.0,"1.0 (-1879346.97, 1879348.98)",1.0
Pediatric_True,"0.9 (nan, nan)",
race_Asian,"0.97 (nan, nan)",
race_African-American,"0.99 (nan, nan)",
race_Hispanic,"0.99 (nan, nan)",
race_Other,"0.99 (nan, nan)",
race_White,"1.0 (nan, nan)",
race_Native American,"1.0 (nan, nan)",
Pediatric_False,"1.11 (nan, nan)",
