,"2016-18 (%, 95% CI, N)","2019-21 (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,10233 (62.8%),6065 (37.2%), , 
Age (mean years),40.1 (39.8-40.5),38.9 (38.5-39.3),1.3 (0.8-1.8),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Geriatric (>65),"9.2% (8.7-9.8), 946.0","7.1% (6.4-7.7), 430.0",2.2% (1.3-3.0),< 0.00001
White,"58.7% (57.7-59.6), 6005.0","55.2% (54.0-56.5), 3350.0",3.4% (1.9-5.0),2e-05
African American or Hispanic,"32.5% (31.6-33.4), 3329.0","36.2% (35.0-37.4), 2197.0",-3.7% (-5.2--2.2),< 0.00001
Female,"49.2% (48.2-50.2), 5035.0","50.1% (48.8-51.3), 3036.0",-0.9% (-2.4-0.7),0.29183
Married,"44.7% (43.7-45.6), 4572.0","41.9% (40.7-43.1), 2541.0",2.8% (1.2-4.4),0.00052
Medicaid,"18.9% (18.1-19.6), 1929.0","20.8% (19.8-21.8), 1260.0",-1.9% (-3.2--0.7),0.00302
Medicare,"9.0% (8.4-9.5), 917.0","6.9% (6.3-7.5), 419.0",2.1% (1.2-2.9),< 0.00001
Private Insurance,"61.3% (60.3-62.2), 6268.0","59.9% (58.7-61.2), 3635.0",1.3% (-0.2-2.9),0.0961
Uninsured,"7.4% (6.9-7.9), 755.0","8.4% (7.7-9.1), 507.0",-1.0% (-1.8--0.1),0.02556
Zip Code Income (mean quartile),3.3 (3.3-3.3),3.3 (3.3-3.3),-0.0 (-0.0-0.0),0.24317
Charleston Comorbidity Index (mean),0.4 (0.4-0.4),0.5 (0.5-0.5),-0.1 (-0.1--0.1),< 0.00001
Diabetes Mellitus,"6.6% (6.2-7.1), 679.0","6.0% (5.4-6.6), 366.0",0.6% (-0.2-1.4),0.12589
Hyperlipidemia,"11.7% (11.1-12.4), 1200.0","11.7% (10.9-12.5), 711.0",0.0% (-1.0-1.0),0.99424
Obesity,"11.4% (10.8-12.0), 1163.0","12.2% (11.4-13.0), 741.0",-0.9% (-1.9-0.2),0.10427
Hypertension,"20.4% (19.6-21.2), 2086.0","19.4% (18.4-20.4), 1178.0",1.0% (-0.3-2.2),0.13614
Ischemic Heart Disease,"2.6% (2.3-2.9), 264.0","2.5% (2.1-2.9), 152.0",0.1% (-0.4-0.6),0.77227
Mood Disorders,"11.7% (11.1-12.4), 1201.0","12.4% (11.6-13.2), 753.0",-0.7% (-1.7-0.4),0.19993
Aspirin,"3.9% (3.5-4.3), 397.0","3.7% (3.2-4.2), 223.0",0.2% (-0.4-0.8),0.5103
Nicotine Dependence,"23.7% (22.9-24.6), 2429.0","22.1% (21.0-23.1), 1339.0",1.7% (0.3-3.0),0.0145
Alcohol-Related Disorders,"0.8% (0.6-1.0), 80.0","0.8% (0.6-1.0), 48.0",-0.0% (-0.3-0.3),0.94635
Antibiotic Treatment,"56.0% (55.1-57.0), 5733.0","72.7% (71.6-73.8), 4411.0",-16.7% (-18.2--15.2),< 0.00001
pregnant,"0.2% (0.1-0.3), 18.0","0.0% (-0.0-0.0), 1.0",0.2% (0.1-0.2),0.00035
appendecolith,"3.1% (2.7-3.4), 313.0","4.0% (3.5-4.5), 245.0",-1.0% (-1.6--0.4),0.00129
bowel obstruction,"3.7% (3.4-4.1), 381.0","1.9% (1.6-2.3), 116.0",1.8% (1.3-2.3),< 0.00001
Recurrent ED Visits (# / 1000 patients),16.9 (14.4-19.4),21.3 (17.6-25.0),-4.4 (-8.8-0.1),0.05581
Repeat Hospitalizations (# / 1000 patients),15.9 (13.4-18.4),15.2 (12.0-18.3),0.8 (-3.3-4.8),0.71143
Cost (USD),4511.6 (4377.4-4645.7),4026.6 (3928.5-4124.8),484.9 (318.7-651.1),< 0.00001
Deaths (%),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Length of Stay (mean days),2.0 (2.0-2.1),1.8 (1.8-1.8),0.2 (0.2-0.3),< 0.00001
Admitted,"27.0% (26.1-27.8), 2761.0","14.4% (13.5-15.3), 875.0",12.6% (11.3-13.8),< 0.00001
Complicated,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Uncomplicated,"100.0% (100.0-100.0), 10233.0","100.0% (100.0-100.0), 6065.0",0.0% (nan-nan),
Non-Surgical Management,"7.3% (6.8-7.8), 750.0","9.0% (8.3-9.7), 547.0",-1.7% (-2.6--0.8),0.00017
Immediate Appendectomy,"90.2% (89.7-90.8), 9234.0","87.7% (86.8-88.5), 5317.0",2.6% (1.6-3.6),< 0.00001
Delayed Appendectomy,"1.6% (1.4-1.8), 163.0","2.3% (1.9-2.7), 141.0",-0.7% (-1.2--0.3),0.00144
Return Emergency Appendectomy,"0.8% (0.7-1.0), 86.0","1.0% (0.7-1.2), 60.0",-0.1% (-0.5-0.2),0.33959
Morphine on Initial Visit,"36.0% (35.0-36.9), 3680.0","44.3% (43.0-45.5), 2686.0",-8.3% (-9.9--6.8),< 0.00001
- Morphine,"64.0% (63.1-65.0), 6553.0","55.7% (54.5-57.0), 3379.0",8.3% (6.8-9.9),< 0.00001
Opioid on Initial Visit,"59.5% (58.5-60.4), 6085.0","74.1% (73.0-75.2), 4492.0",-14.6% (-16.1--13.1),< 0.00001
- Opioid,"40.5% (39.6-41.5), 4148.0","25.9% (24.8-27.0), 1573.0",14.6% (13.1-16.1),< 0.00001
New Complicated Appendicitis,"0.9% (0.7-1.0), 89.0","1.1% (0.9-1.4), 69.0",-0.3% (-0.6-0.1),0.10283
No New Complicated Appendicitis,"99.1% (99.0-99.3), 10144.0","98.9% (98.6-99.1), 5996.0",0.3% (-0.1-0.6),0.10283
Immediate Appendectomy Obtained,"90.2% (89.7-90.8), 9234.0","87.7% (86.8-88.5), 5317.0",2.6% (1.6-3.6),< 0.00001
Initial Management Without Appendectomy,"9.8% (9.2-10.3), 999.0","12.3% (11.5-13.2), 748.0",-2.6% (-3.6--1.6),< 0.00001
IV Antibiotics,"55.4% (54.4-56.3), 5666.0","72.2% (71.0-73.3), 4376.0",-16.8% (-18.3--15.3),< 0.00001
No IV Antibiotics,"44.6% (43.7-45.6), 4567.0","27.8% (26.7-29.0), 1689.0",16.8% (15.3-18.3),< 0.00001
2016-18,"100.0% (100.0-100.0), 10233.0","0.0% (0.0-0.0), 0.0",100.0% (nan-nan),< 0.00001
2019-21,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 6065.0",-100.0% (nan-nan),< 0.00001
