,"IV Antibiotics (%, 95% CI, N)","No IV Antibiotics (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,10042 (61.6%),6256 (38.4%), , 
Age (mean years),37.9 (37.6-38.2),42.5 (42.1-42.9),-4.6 (-5.1--4.1),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Geriatric (>65),"5.8% (5.3-6.2), 579.0","12.7% (11.9-13.6), 797.0",-7.0% (-7.9--6.0),< 0.00001
White,"58.0% (57.1-59.0), 5828.0","56.4% (55.1-57.6), 3527.0",1.7% (0.1-3.2),0.03755
African American or Hispanic,"32.7% (31.7-33.6), 3280.0","35.9% (34.7-37.1), 2246.0",-3.2% (-4.7--1.7),2e-05
Female,"48.9% (47.9-49.9), 4908.0","50.6% (49.3-51.8), 3163.0",-1.7% (-3.3--0.1),0.03645
Married,"43.8% (42.8-44.8), 4399.0","43.4% (42.2-44.6), 2714.0",0.4% (-1.1-2.0),0.59579
Medicaid,"19.7% (18.9-20.5), 1980.0","19.3% (18.3-20.3), 1209.0",0.4% (-0.9-1.6),0.53915
Medicare,"5.2% (4.8-5.7), 527.0","12.9% (12.1-13.8), 809.0",-7.7% (-8.6--6.7),< 0.00001
Private Insurance,"63.3% (62.4-64.3), 6361.0","56.6% (55.4-57.8), 3542.0",6.7% (5.2-8.3),< 0.00001
Uninsured,"8.0% (7.5-8.6), 806.0","7.3% (6.6-7.9), 456.0",0.7% (-0.1-1.6),0.08359
Zip Code Income (mean quartile),3.3 (3.3-3.3),3.2 (3.2-3.2),0.1 (0.1-0.1),< 0.00001
Charleston Comorbidity Index (mean),0.5 (0.5-0.5),0.4 (0.3-0.4),0.2 (0.1-0.2),< 0.00001
Diabetes Mellitus,"4.6% (4.2-5.1), 466.0","9.3% (8.5-10.0), 579.0",-4.6% (-5.4--3.8),< 0.00001
Hyperlipidemia,"9.4% (8.9-10.0), 947.0","15.4% (14.5-16.3), 964.0",-6.0% (-7.0--4.9),< 0.00001
Obesity,"9.6% (9.0-10.1), 961.0","15.1% (14.2-16.0), 943.0",-5.5% (-6.6--4.4),< 0.00001
Hypertension,"15.9% (15.2-16.6), 1594.0","26.7% (25.6-27.8), 1670.0",-10.8% (-12.1--9.5),< 0.00001
Ischemic Heart Disease,"1.5% (1.3-1.8), 153.0","4.2% (3.7-4.7), 263.0",-2.7% (-3.2--2.1),< 0.00001
Mood Disorders,"10.9% (10.3-11.5), 1092.0","13.8% (12.9-14.6), 862.0",-2.9% (-4.0--1.9),< 0.00001
Aspirin,"3.1% (2.7-3.4), 310.0","5.0% (4.4-5.5), 310.0",-1.9% (-2.5--1.2),< 0.00001
Nicotine Dependence,"21.3% (20.5-22.1), 2143.0","26.0% (24.9-27.1), 1625.0",-4.6% (-6.0--3.3),< 0.00001
Alcohol-Related Disorders,"0.6% (0.5-0.8), 61.0","1.1% (0.8-1.3), 67.0",-0.5% (-0.8--0.2),0.00222
Antibiotic Treatment,"100.0% (100.0-100.0), 10042.0","1.6% (1.3-1.9), 102.0",98.4% (98.1-98.7),< 0.00001
pregnant,"0.1% (0.1-0.2), 13.0","0.1% (0.0-0.2), 6.0",0.0% (-0.1-0.1),0.52752
appendecolith,"3.3% (2.9-3.6), 327.0","3.7% (3.2-4.2), 231.0",-0.4% (-1.0-0.1),0.14204
bowel obstruction,"0.7% (0.5-0.8), 69.0","6.8% (6.2-7.5), 428.0",-6.2% (-6.8--5.5),< 0.00001
Recurrent ED Visits (# / 1000 patients),14.1 (11.8-16.5),25.6 (21.6-29.6),-11.4 (-16.1--6.8),< 0.00001
Repeat Hospitalizations (# / 1000 patients),10.7 (8.6-12.7),23.7 (19.8-27.6),-13.0 (-17.4--8.6),< 0.00001
Cost (USD),2544.4 (2515.2-2573.7),7199.0 (6982.5-7415.6),-4654.6 (-4873.1--4436.1),< 0.00001
Deaths (%),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Length of Stay (mean days),1.7 (1.7-1.7),2.3 (2.3-2.4),-0.7 (-0.7--0.6),< 0.00001
Admitted,"0.0% (0.0-0.0), 0.0","58.1% (56.9-59.3), 3636.0",-58.1% (-59.3--56.9),< 0.00001
Complicated,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Uncomplicated,"100.0% (100.0-100.0), 10042.0","100.0% (100.0-100.0), 6256.0",0.0% (nan-nan),
Non-Surgical Management,"6.1% (5.7-6.6), 617.0","10.9% (10.1-11.6), 680.0",-4.7% (-5.6--3.8),< 0.00001
Immediate Appendectomy,"91.9% (91.3-92.4), 9227.0","85.1% (84.2-86.0), 5324.0",6.8% (5.8-7.8),< 0.00001
Delayed Appendectomy,"1.5% (1.2-1.7), 147.0","2.5% (2.1-2.9), 157.0",-1.0% (-1.5--0.6),1e-05
Return Emergency Appendectomy,"0.5% (0.4-0.6), 51.0","1.5% (1.2-1.8), 95.0",-1.0% (-1.3--0.7),< 0.00001
Morphine on Initial Visit,"55.7% (54.8-56.7), 5598.0","12.3% (11.5-13.1), 768.0",43.5% (42.2-44.7),< 0.00001
- Morphine,"44.3% (43.3-45.2), 4444.0","87.7% (86.9-88.5), 5488.0",-43.5% (-44.7--42.2),< 0.00001
Opioid on Initial Visit,"89.5% (88.9-90.1), 8991.0","25.4% (24.3-26.4), 1586.0",64.2% (62.9-65.4),< 0.00001
- Opioid,"10.5% (9.9-11.1), 1051.0","74.6% (73.6-75.7), 4670.0",-64.2% (-65.4--62.9),< 0.00001
New Complicated Appendicitis,"0.7% (0.5-0.8), 67.0","1.5% (1.2-1.8), 91.0",-0.8% (-1.1--0.5),< 0.00001
No New Complicated Appendicitis,"99.3% (99.2-99.5), 9975.0","98.5% (98.2-98.8), 6165.0",0.8% (0.5-1.1),< 0.00001
Immediate Appendectomy Obtained,"91.9% (91.3-92.4), 9227.0","85.1% (84.2-86.0), 5324.0",6.8% (5.8-7.8),< 0.00001
Initial Management Without Appendectomy,"8.1% (7.6-8.7), 815.0","14.9% (14.0-15.8), 932.0",-6.8% (-7.8--5.8),< 0.00001
IV Antibiotics,"100.0% (100.0-100.0), 10042.0","0.0% (0.0-0.0), 0.0",100.0% (nan-nan),< 0.00001
No IV Antibiotics,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 6256.0",-100.0% (nan-nan),< 0.00001
2016-18,"56.4% (55.5-57.4), 5666.0","73.0% (71.9-74.1), 4567.0",-16.6% (-18.0--15.1),< 0.00001
2019-21,"43.6% (42.6-44.5), 4376.0","27.0% (25.9-28.1), 1689.0",16.6% (15.1-18.0),< 0.00001
