,"IV Antibiotics (%, 95% CI, N)","No IV Antibiotics (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,815 (46.7%),932 (53.3%), , 
Age (mean years),40.6 (39.5-41.7),47.1 (45.9-48.3),-6.5 (-8.2--4.9),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Geriatric (>65),"10.8% (8.7-12.9), 88.0","20.3% (17.7-22.9), 189.0",-9.5% (-12.8--6.1),< 0.00001
White,"50.2% (46.7-53.6), 409.0","48.3% (45.1-51.5), 450.0",1.9% (-2.8-6.6),0.42821
African American or Hispanic,"40.1% (36.8-43.5), 327.0","43.3% (40.2-46.5), 404.0",-3.2% (-7.9-1.4),0.17271
Female,"51.2% (47.7-54.6), 417.0","49.7% (46.5-52.9), 463.0",1.5% (-3.2-6.2),0.53528
Married,"40.7% (37.4-44.1), 332.0","42.6% (39.4-45.8), 397.0",-1.9% (-6.5-2.8),0.43157
Medicaid,"24.8% (21.8-27.8), 202.0","19.8% (17.3-22.4), 185.0",4.9% (1.0-8.9),0.01369
Medicare,"9.7% (7.7-11.7), 79.0","20.6% (18.0-23.2), 192.0",-10.9% (-14.2--7.6),< 0.00001
Private Insurance,"53.3% (49.8-56.7), 434.0","49.4% (46.1-52.6), 460.0",3.9% (-0.8-8.6),0.10425
Uninsured,"10.1% (8.0-12.1), 82.0","6.8% (5.1-8.4), 63.0",3.3% (0.7-5.9),0.01366
Zip Code Income (mean quartile),3.1 (3.0-3.2),3.1 (3.1-3.2),-0.1 (-0.1-0.0),0.28649
Charleston Comorbidity Index (mean),0.5 (0.4-0.5),0.5 (0.4-0.5),0.0 (-0.0-0.1),0.64951
Diabetes Mellitus,"8.6% (6.7-10.5), 70.0","14.1% (11.8-16.3), 131.0",-5.5% (-8.4--2.5),0.00029
Hyperlipidemia,"13.6% (11.3-16.0), 111.0","20.1% (17.5-22.6), 187.0",-6.4% (-9.9--3.0),0.0003
