,"Delayed Appendectomy (%, 95% CI, N)","Immediate Appendectomy (%, 95% CI, N)","Non-Surgical Management (%, 95% CI, N)","Return Emergency Appendectomy (%, 95% CI, N)",P-value (ANOVA)
Totals,304 (1.9%),14551 (89.3%),1297 (8.0%),146 (0.9%), 
Age (mean years),42.5 (40.7-44.4),39.1 (38.9-39.4),44.6 (43.6-45.6),43.1 (40.4-45.7),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",
Geriatric (>65),"11.8% (8.2-15.5), 36.0","7.6% (7.1-8.0), 1099.0","17.3% (15.2-19.3), 224.0","11.6% (6.4-16.9), 17.0",< 0.00001
White,"53.3% (47.6-58.9), 162.0","58.4% (57.6-59.2), 8496.0","49.7% (46.9-52.4), 644.0","36.3% (28.4-44.2), 53.0",< 0.00001
African American or Hispanic,"36.8% (31.4-42.3), 112.0","33.0% (32.2-33.7), 4795.0","41.5% (38.8-44.2), 538.0","55.5% (47.3-63.6), 81.0",< 0.00001
Female,"45.4% (39.8-51.0), 138.0","49.4% (48.6-50.2), 7191.0","51.4% (48.7-54.1), 667.0","51.4% (43.2-59.6), 75.0",0.23929
Married,"40.5% (34.9-46.0), 123.0","43.9% (43.1-44.7), 6384.0","42.7% (40.0-45.4), 554.0","35.6% (27.8-43.5), 52.0",0.11941
Medicaid,"20.7% (16.1-25.3), 63.0","19.3% (18.6-19.9), 2802.0","22.6% (20.3-24.9), 293.0","21.2% (14.5-27.9), 31.0",0.03007
Medicare,"11.8% (8.2-15.5), 36.0","7.3% (6.9-7.7), 1065.0","16.6% (14.6-18.6), 215.0","13.7% (8.1-19.3), 20.0",< 0.00001
Private Insurance,"60.9% (55.3-66.4), 185.0","61.9% (61.1-62.7), 9009.0","49.1% (46.4-51.8), 637.0","49.3% (41.1-57.5), 72.0",< 0.00001
Uninsured,"3.9% (1.7-6.1), 12.0","7.7% (7.2-8.1), 1117.0","8.7% (7.2-10.2), 113.0","13.7% (8.1-19.3), 20.0",0.00167
Zip Code Income (mean quartile),2.9 (2.8-3.0),3.3 (3.3-3.3),3.1 (3.1-3.2),3.3 (3.1-3.4),< 0.00001
Charleston Comorbidity Index (mean),0.5 (0.4-0.6),0.4 (0.4-0.5),0.5 (0.4-0.5),0.6 (0.4-0.7),0.00583
Diabetes Mellitus,"11.5% (7.9-15.1), 35.0","5.8% (5.4-6.2), 844.0","11.1% (9.4-12.8), 144.0","15.1% (9.2-20.9), 22.0",< 0.00001
Hyperlipidemia,"20.4% (15.8-24.9), 62.0","11.1% (10.6-11.6), 1613.0","16.4% (14.4-18.4), 213.0","15.8% (9.8-21.7), 23.0",< 0.00001
Obesity,"22.4% (17.7-27.1), 68.0","11.5% (11.0-12.0), 1673.0","10.3% (8.6-11.9), 133.0","20.5% (13.9-27.2), 30.0",< 0.00001
Hypertension,"34.5% (29.2-39.9), 105.0","19.0% (18.4-19.6), 2763.0","26.7% (24.3-29.1), 346.0","34.2% (26.5-42.0), 50.0",< 0.00001
Ischemic Heart Disease,"7.6% (4.6-10.6), 23.0","2.2% (1.9-2.4), 314.0","5.6% (4.4-6.9), 73.0","4.1% (0.9-7.4), 6.0",< 0.00001
Mood Disorders,"14.1% (10.2-18.1), 43.0","11.8% (11.3-12.3), 1717.0","13.3% (11.4-15.1), 172.0","15.1% (9.2-20.9), 22.0",0.16225
Aspirin,"9.9% (6.5-13.2), 30.0","3.4% (3.1-3.7), 500.0","6.2% (4.9-7.5), 80.0","6.8% (2.7-11.0), 10.0",< 0.00001
