,"Immediate Appendectomy Obtained (%, 95% CI, N)","Initial Management Without Appendectomy (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,14551 (89.3%),1747 (10.7%), , 
Age (mean years),39.1 (38.9-39.4),44.1 (43.2-44.9),-4.9 (-5.8--4.1),< 0.00001
Pediatric (<18),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Geriatric (>65),"7.6% (7.1-8.0), 1099.0","15.9% (14.1-17.6), 277.0",-8.3% (-10.1--6.5),< 0.00001
White,"58.4% (57.6-59.2), 8496.0","49.2% (46.8-51.5), 859.0",9.2% (6.7-11.7),< 0.00001
African American or Hispanic,"33.0% (32.2-33.7), 4795.0","41.8% (39.5-44.2), 731.0",-8.9% (-11.3--6.5),< 0.00001
Female,"49.4% (48.6-50.2), 7191.0","50.4% (48.0-52.7), 880.0",-1.0% (-3.4-1.5),0.45189
Married,"43.9% (43.1-44.7), 6384.0","41.7% (39.4-44.0), 729.0",2.1% (-0.3-4.6),0.0863
Medicaid,"19.3% (18.6-19.9), 2802.0","22.2% (20.2-24.1), 387.0",-2.9% (-4.9--0.8),0.00569
Medicare,"7.3% (6.9-7.7), 1065.0","15.5% (13.8-17.2), 271.0",-8.2% (-9.9--6.4),< 0.00001
Private Insurance,"61.9% (61.1-62.7), 9009.0","51.2% (48.8-53.5), 894.0",10.7% (8.3-13.2),< 0.00001
Uninsured,"7.7% (7.2-8.1), 1117.0","8.3% (7.0-9.6), 145.0",-0.6% (-2.0-0.7),0.37055
Zip Code Income (mean quartile),3.3 (3.3-3.3),3.1 (3.1-3.2),0.2 (0.1-0.2),< 0.00001
Charleston Comorbidity Index (mean),0.4 (0.4-0.5),0.5 (0.4-0.5),-0.0 (-0.1-0.0),0.07727
Diabetes Mellitus,"5.8% (5.4-6.2), 844.0","11.5% (10.0-13.0), 201.0",-5.7% (-7.3--4.2),< 0.00001
Hyperlipidemia,"11.1% (10.6-11.6), 1613.0","17.1% (15.3-18.8), 298.0",-6.0% (-7.8--4.1),< 0.00001
Obesity,"11.5% (11.0-12.0), 1673.0","13.2% (11.6-14.8), 231.0",-1.7% (-3.4--0.1),0.04318
Hypertension,"19.0% (18.4-19.6), 2763.0","28.7% (26.6-30.8), 501.0",-9.7% (-11.9--7.5),< 0.00001
Ischemic Heart Disease,"2.2% (1.9-2.4), 314.0","5.8% (4.7-6.9), 102.0",-3.7% (-4.8--2.6),< 0.00001
Mood Disorders,"11.8% (11.3-12.3), 1717.0","13.6% (12.0-15.2), 237.0",-1.8% (-3.5--0.1),0.04059
Aspirin,"3.4% (3.1-3.7), 500.0","6.9% (5.7-8.1), 120.0",-3.4% (-4.7--2.2),< 0.00001
Nicotine Dependence,"22.9% (22.2-23.6), 3329.0","25.1% (23.1-27.2), 439.0",-2.3% (-4.4--0.1),0.03995
Alcohol-Related Disorders,"0.7% (0.6-0.8), 101.0","1.5% (1.0-2.1), 27.0",-0.9% (-1.4--0.3),0.00502
Antibiotic Treatment,"63.5% (62.7-64.2), 9235.0","52.0% (49.7-54.4), 909.0",11.4% (9.0-13.9),< 0.00001
pregnant,"0.1% (0.1-0.2), 16.0","0.2% (-0.0-0.4), 3.0",-0.1% (-0.3-0.1),0.54813
appendecolith,"3.4% (3.1-3.7), 490.0","3.9% (3.0-4.8), 68.0",-0.5% (-1.5-0.4),0.28066
bowel obstruction,"2.8% (2.6-3.1), 411.0","4.9% (3.9-5.9), 86.0",-2.1% (-3.1--1.0),9e-05
Recurrent ED Visits (# / 1000 patients),8.0 (6.5-9.4),106.5 (91.6-121.3),-98.5 (-113.4--83.6),< 0.00001
Repeat Hospitalizations (# / 1000 patients),0.5 (0.1-0.8),142.0 (125.0-158.9),-141.5 (-158.5--124.5),< 0.00001
Cost (USD),4182.7 (4108.6-4256.9),5566.8 (4975.3-6158.4),-1384.1 (-1980.2--788.0),1e-05
Deaths (%),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Length of Stay (mean days),1.9 (1.8-1.9),2.6 (2.4-2.8),-0.8 (-1.0--0.6),< 0.00001
Admitted,"21.3% (20.6-22.0), 3100.0","30.7% (28.5-32.8), 536.0",-9.4% (-11.6--7.1),< 0.00001
Complicated,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Uncomplicated,"100.0% (100.0-100.0), 14551.0","100.0% (100.0-100.0), 1747.0",0.0% (nan-nan),
Non-Surgical Management,"0.0% (0.0-0.0), 0.0","74.2% (72.2-76.3), 1297.0",-74.2% (-76.3--72.2),< 0.00001
Immediate Appendectomy,"100.0% (100.0-100.0), 14551.0","0.0% (0.0-0.0), 0.0",100.0% (nan-nan),< 0.00001
Delayed Appendectomy,"0.0% (0.0-0.0), 0.0","17.4% (15.6-19.2), 304.0",-17.4% (-19.2--15.6),< 0.00001
Return Emergency Appendectomy,"0.0% (0.0-0.0), 0.0","8.4% (7.1-9.7), 146.0",-8.4% (-9.7--7.1),< 0.00001
Morphine on Initial Visit,"40.2% (39.4-41.0), 5848.0","29.7% (27.5-31.8), 518.0",10.5% (8.3-12.8),< 0.00001
- Morphine,"59.8% (59.0-60.6), 8703.0","70.3% (68.2-72.5), 1229.0",-10.5% (-12.8--8.3),< 0.00001
Opioid on Initial Visit,"68.0% (67.3-68.8), 9897.0","38.9% (36.6-41.2), 680.0",29.1% (26.7-31.5),< 0.00001
- Opioid,"32.0% (31.2-32.7), 4654.0","61.1% (58.8-63.4), 1067.0",-29.1% (-31.5--26.7),< 0.00001
New Complicated Appendicitis,"0.1% (0.1-0.2), 21.0","7.8% (6.6-9.1), 137.0",-7.7% (-9.0--6.4),< 0.00001
No New Complicated Appendicitis,"99.9% (99.8-99.9), 14530.0","92.2% (90.9-93.4), 1610.0",7.7% (6.4-9.0),< 0.00001
Immediate Appendectomy Obtained,"100.0% (100.0-100.0), 14551.0","0.0% (0.0-0.0), 0.0",100.0% (nan-nan),< 0.00001
Initial Management Without Appendectomy,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 1747.0",-100.0% (nan-nan),< 0.00001
IV Antibiotics,"63.4% (62.6-64.2), 9227.0","46.7% (44.3-49.0), 815.0",16.8% (14.3-19.2),< 0.00001
No IV Antibiotics,"36.6% (35.8-37.4), 5324.0","53.3% (51.0-55.7), 932.0",-16.8% (-19.2--14.3),< 0.00001
2016-18,"63.5% (62.7-64.2), 9234.0","57.2% (54.9-59.5), 999.0",6.3% (3.8-8.7),< 0.00001
2019-21,"36.5% (35.8-37.3), 5317.0","42.8% (40.5-45.1), 748.0",-6.3% (-8.7--3.8),< 0.00001
